Running on host gpu019
Using 8 Julia threads
Starting at Wed Feb 11 10:32:21 CET 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl
Epoch 1/1000 | time=115.615s | train_loss=0.5621 | train_corr=(0.116, 0.122) | val_loss=0.5639 | val_corr=(0.061, 0.089) | test_loss=0.5647 | test_corr=(0.056, 0.094)
Epoch 2/1000 | time=0.572s | train_loss=0.5589 | train_corr=(0.278, 0.194) | val_loss=0.5475 | val_corr=(0.329, 0.15) | test_loss=0.5497 | test_corr=(0.332, 0.149)
Epoch 3/1000 | time=0.555s | train_loss=0.5382 | train_corr=(0.234, 0.201) | val_loss=0.5217 | val_corr=(0.332, 0.184) | test_loss=0.5226 | test_corr=(0.35, 0.189)
Epoch 4/1000 | time=0.568s | train_loss=0.4826 | train_corr=(0.459, 0.283) | val_loss=0.4919 | val_corr=(0.415, 0.297) | test_loss=0.4934 | test_corr=(0.441, 0.3)
Epoch 5/1000 | time=0.557s | train_loss=0.4445 | train_corr=(0.569, 0.435) | val_loss=0.4489 | val_corr=(0.564, 0.399) | test_loss=0.4506 | test_corr=(0.595, 0.404)
Epoch 6/1000 | time=0.558s | train_loss=0.4284 | train_corr=(0.663, 0.448) | val_loss=0.4093 | val_corr=(0.677, 0.459) | test_loss=0.4168 | test_corr=(0.672, 0.454)
Epoch 7/1000 | time=0.545s | train_loss=0.3677 | train_corr=(0.75, 0.569) | val_loss=0.3641 | val_corr=(0.786, 0.584) | test_loss=0.3753 | test_corr=(0.773, 0.591)
Epoch 8/1000 | time=0.543s | train_loss=0.3283 | train_corr=(0.824, 0.618) | val_loss=0.334 | val_corr=(0.821, 0.615) | test_loss=0.3495 | test_corr=(0.796, 0.62)
Epoch 9/1000 | time=0.538s | train_loss=0.3046 | train_corr=(0.883, 0.667) | val_loss=0.3202 | val_corr=(0.873, 0.636) | test_loss=0.3408 | test_corr=(0.84, 0.631)
Epoch 10/1000 | time=0.544s | train_loss=0.3128 | train_corr=(0.861, 0.645) | val_loss=0.3283 | val_corr=(0.879, 0.662) | test_loss=0.3402 | test_corr=(0.851, 0.673)
Epoch 11/1000 | time=0.546s | train_loss=0.3135 | train_corr=(0.856, 0.657) | val_loss=0.3023 | val_corr=(0.873, 0.692) | test_loss=0.3234 | test_corr=(0.853, 0.688)
Epoch 12/1000 | time=0.536s | train_loss=0.2884 | train_corr=(0.89, 0.691) | val_loss=0.2806 | val_corr=(0.884, 0.698) | test_loss=0.308 | test_corr=(0.851, 0.691)
Epoch 13/1000 | time=0.542s | train_loss=0.2689 | train_corr=(0.902, 0.698) | val_loss=0.2639 | val_corr=(0.896, 0.714) | test_loss=0.3023 | test_corr=(0.849, 0.698)
Epoch 14/1000 | time=0.54s | train_loss=0.2569 | train_corr=(0.904, 0.743) | val_loss=0.2587 | val_corr=(0.903, 0.73) | test_loss=0.2903 | test_corr=(0.866, 0.721)
