Running on host gpu015
Using 8 Julia threads
Starting at Thu Feb 12 15:00:25 CET 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl
Epoch 1/200 | time=110.0s | train_loss=0.152 | train_corr=(0.362, 0.109) | val_loss=0.1524 | val_corr=(0.366, 0.081) | test_loss=0.1526 | test_corr=(0.366, 0.084)
Epoch 2/200 | time=0.57s | train_loss=0.1498 | train_corr=(0.379, 0.155) | val_loss=0.1485 | val_corr=(0.374, 0.179) | test_loss=0.1489 | test_corr=(0.375, 0.168)
Epoch 3/200 | time=0.549s | train_loss=0.1412 | train_corr=(0.405, 0.354) | val_loss=0.1392 | val_corr=(0.421, 0.286) | test_loss=0.1398 | test_corr=(0.429, 0.296)
Epoch 4/200 | time=0.55s | train_loss=0.1375 | train_corr=(0.406, 0.435) | val_loss=0.1335 | val_corr=(0.413, 0.46) | test_loss=0.1331 | test_corr=(0.425, 0.473)
Epoch 5/200 | time=0.553s | train_loss=0.1234 | train_corr=(0.461, 0.535) | val_loss=0.1223 | val_corr=(0.488, 0.551) | test_loss=0.1222 | test_corr=(0.502, 0.569)
Epoch 6/200 | time=0.549s | train_loss=0.1169 | train_corr=(0.571, 0.578) | val_loss=0.1145 | val_corr=(0.6, 0.551) | test_loss=0.1156 | test_corr=(0.607, 0.558)
Epoch 7/200 | time=0.554s | train_loss=0.1063 | train_corr=(0.675, 0.612) | val_loss=0.1019 | val_corr=(0.698, 0.62) | test_loss=0.1042 | test_corr=(0.685, 0.626)
Epoch 8/200 | time=0.552s | train_loss=0.0894 | train_corr=(0.793, 0.672) | val_loss=0.0989 | val_corr=(0.776, 0.615) | test_loss=0.1004 | test_corr=(0.766, 0.629)
Epoch 9/200 | time=0.554s | train_loss=0.0885 | train_corr=(0.794, 0.698) | val_loss=0.0879 | val_corr=(0.806, 0.7) | test_loss=0.0914 | test_corr=(0.785, 0.706)
Epoch 10/200 | time=0.538s | train_loss=0.0819 | train_corr=(0.82, 0.744) | val_loss=0.0786 | val_corr=(0.824, 0.748) | test_loss=0.0841 | test_corr=(0.795, 0.738)
Epoch 11/200 | time=0.546s | train_loss=0.0718 | train_corr=(0.863, 0.776) | val_loss=0.0691 | val_corr=(0.872, 0.786) | test_loss=0.0781 | test_corr=(0.831, 0.763)
Epoch 12/200 | time=0.549s | train_loss=0.071 | train_corr=(0.859, 0.79) | val_loss=0.0706 | val_corr=(0.861, 0.786) | test_loss=0.0784 | test_corr=(0.822, 0.764)
Epoch 13/200 | time=0.545s | train_loss=0.0636 | train_corr=(0.874, 0.831) | val_loss=0.0638 | val_corr=(0.866, 0.839) | test_loss=0.0722 | test_corr=(0.833, 0.813)
Epoch 14/200 | time=0.542s | train_loss=0.0592 | train_corr=(0.878, 0.87) | val_loss=0.0595 | val_corr=(0.88, 0.852) | test_loss=0.07 | test_corr=(0.83, 0.82)
Epoch 15/200 | time=0.552s | train_loss=0.0589 | train_corr=(0.867, 0.893) | val_loss=0.0566 | val_corr=(0.872, 0.895) | test_loss=0.0676 | test_corr=(0.825, 0.857)
Epoch 16/200 | time=0.545s | train_loss=0.0531 | train_corr=(0.876, 0.918) | val_loss=0.0515 | val_corr=(0.882, 0.912) | test_loss=0.0643 | test_corr=(0.832, 0.871)
Epoch 17/200 | time=0.544s | train_loss=0.0557 | train_corr=(0.864, 0.921) | val_loss=0.0496 | val_corr=(0.876, 0.934) | test_loss=0.0625 | test_corr=(0.831, 0.886)
Epoch 18/200 | time=0.546s | train_loss=0.0484 | train_corr=(0.876, 0.943) | val_loss=0.0466 | val_corr=(0.883, 0.946) | test_loss=0.0591 | test_corr=(0.843, 0.901)
Epoch 19/200 | time=0.547s | train_loss=0.0555 | train_corr=(0.855, 0.919) | val_loss=0.0514 | val_corr=(0.867, 0.934) | test_loss=0.0627 | test_corr=(0.826, 0.892)
Epoch 20/200 | time=0.553s | train_loss=0.0477 | train_corr=(0.869, 0.949) | val_loss=0.0483 | val_corr=(0.879, 0.94) | test_loss=0.0603 | test_corr=(0.837, 0.897)
Epoch 21/200 | time=0.546s | train_loss=0.0446 | train_corr=(0.884, 0.947) | val_loss=0.0451 | val_corr=(0.884, 0.945) | test_loss=0.0585 | test_corr=(0.845, 0.891)
Epoch 22/200 | time=0.543s | train_loss=0.0423 | train_corr=(0.888, 0.96) | val_loss=0.0444 | val_corr=(0.88, 0.956) | test_loss=0.0558 | test_corr=(0.845, 0.92)
Epoch 23/200 | time=0.53s | train_loss=0.045 | train_corr=(0.883, 0.954) | val_loss=0.041 | val_corr=(0.892, 0.965) | test_loss=0.0541 | test_corr=(0.855, 0.928)
Epoch 24/200 | time=0.537s | train_loss=0.0406 | train_corr=(0.891, 0.967) | val_loss=0.0409 | val_corr=(0.892, 0.955) | test_loss=0.0545 | test_corr=(0.85, 0.913)
Epoch 25/200 | time=0.531s | train_loss=0.0381 | train_corr=(0.903, 0.963) | val_loss=0.037 | val_corr=(0.902, 0.971) | test_loss=0.0539 | test_corr=(0.846, 0.924)
Epoch 26/200 | time=0.534s | train_loss=0.0362 | train_corr=(0.899, 0.972) | val_loss=0.037 | val_corr=(0.902, 0.967) | test_loss=0.0515 | test_corr=(0.858, 0.927)
Epoch 27/200 | time=0.533s | train_loss=0.0379 | train_corr=(0.899, 0.963) | val_loss=0.0376 | val_corr=(0.898, 0.963) | test_loss=0.0543 | test_corr=(0.847, 0.913)
Epoch 28/200 | time=0.532s | train_loss=0.0384 | train_corr=(0.9, 0.961) | val_loss=0.0379 | val_corr=(0.905, 0.967) | test_loss=0.0524 | test_corr=(0.86, 0.925)
Epoch 29/200 | time=0.535s | train_loss=0.038 | train_corr=(0.907, 0.962) | val_loss=0.0363 | val_corr=(0.91, 0.969) | test_loss=0.0505 | test_corr=(0.865, 0.928)
Epoch 30/200 | time=0.538s | train_loss=0.0336 | train_corr=(0.915, 0.978) | val_loss=0.0342 | val_corr=(0.912, 0.974) | test_loss=0.051 | test_corr=(0.861, 0.926)
Epoch 31/200 | time=0.536s | train_loss=0.0312 | train_corr=(0.921, 0.979) | val_loss=0.0324 | val_corr=(0.916, 0.975) | test_loss=0.05 | test_corr=(0.862, 0.928)
Epoch 32/200 | time=0.535s | train_loss=0.0315 | train_corr=(0.923, 0.976) | val_loss=0.0308 | val_corr=(0.923, 0.978) | test_loss=0.0474 | test_corr=(0.873, 0.935)
Epoch 33/200 | time=0.535s | train_loss=0.0304 | train_corr=(0.924, 0.979) | val_loss=0.0318 | val_corr=(0.924, 0.971) | test_loss=0.0502 | test_corr=(0.871, 0.921)
Epoch 34/200 | time=0.535s | train_loss=0.0297 | train_corr=(0.931, 0.98) | val_loss=0.0313 | val_corr=(0.925, 0.971) | test_loss=0.0487 | test_corr=(0.876, 0.924)
Epoch 35/200 | time=0.535s | train_loss=0.0314 | train_corr=(0.931, 0.971) | val_loss=0.032 | val_corr=(0.931, 0.971) | test_loss=0.0498 | test_corr=(0.876, 0.925)
Epoch 36/200 | time=0.542s | train_loss=0.0331 | train_corr=(0.929, 0.972) | val_loss=0.0297 | val_corr=(0.936, 0.978) | test_loss=0.0496 | test_corr=(0.873, 0.925)
Epoch 37/200 | time=0.53s | train_loss=0.0286 | train_corr=(0.934, 0.979) | val_loss=0.0292 | val_corr=(0.936, 0.975) | test_loss=0.0489 | test_corr=(0.879, 0.925)
Epoch 38/200 | time=0.533s | train_loss=0.0289 | train_corr=(0.935, 0.976) | val_loss=0.0282 | val_corr=(0.938, 0.978) | test_loss=0.0487 | test_corr=(0.873, 0.927)
Epoch 39/200 | time=0.534s | train_loss=0.0282 | train_corr=(0.94, 0.979) | val_loss=0.0283 | val_corr=(0.942, 0.978) | test_loss=0.0477 | test_corr=(0.882, 0.93)
Epoch 40/200 | time=0.53s | train_loss=0.0295 | train_corr=(0.942, 0.977) | val_loss=0.0302 | val_corr=(0.938, 0.972) | test_loss=0.0483 | test_corr=(0.88, 0.924)
Epoch 41/200 | time=0.529s | train_loss=0.0269 | train_corr=(0.945, 0.982) | val_loss=0.0258 | val_corr=(0.948, 0.981) | test_loss=0.0454 | test_corr=(0.894, 0.934)
Epoch 42/200 | time=0.545s | train_loss=0.0248 | train_corr=(0.946, 0.985) | val_loss=0.025 | val_corr=(0.947, 0.983) | test_loss=0.0454 | test_corr=(0.888, 0.932)
Epoch 43/200 | time=0.529s | train_loss=0.0253 | train_corr=(0.942, 0.983) | val_loss=0.0265 | val_corr=(0.946, 0.981) | test_loss=0.0463 | test_corr=(0.891, 0.931)
Epoch 44/200 | time=0.529s | train_loss=0.025 | train_corr=(0.947, 0.987) | val_loss=0.0255 | val_corr=(0.945, 0.982) | test_loss=0.0458 | test_corr=(0.888, 0.931)
Epoch 45/200 | time=0.531s | train_loss=0.0262 | train_corr=(0.945, 0.979) | val_loss=0.0251 | val_corr=(0.948, 0.984) | test_loss=0.0463 | test_corr=(0.885, 0.934)
Epoch 46/200 | time=0.537s | train_loss=0.0258 | train_corr=(0.943, 0.984) | val_loss=0.0266 | val_corr=(0.947, 0.981) | test_loss=0.046 | test_corr=(0.892, 0.928)
Epoch 47/200 | time=0.536s | train_loss=0.027 | train_corr=(0.941, 0.981) | val_loss=0.0266 | val_corr=(0.942, 0.98) | test_loss=0.0476 | test_corr=(0.875, 0.928)
Epoch 48/200 | time=0.535s | train_loss=0.0304 | train_corr=(0.933, 0.971) | val_loss=0.0269 | val_corr=(0.945, 0.982) | test_loss=0.0462 | test_corr=(0.889, 0.933)
Epoch 49/200 | time=0.535s | train_loss=0.0271 | train_corr=(0.945, 0.977) | val_loss=0.0279 | val_corr=(0.943, 0.978) | test_loss=0.0473 | test_corr=(0.886, 0.925)
Epoch 50/200 | time=0.534s | train_loss=0.0242 | train_corr=(0.95, 0.979) | val_loss=0.0233 | val_corr=(0.95, 0.984) | test_loss=0.0457 | test_corr=(0.884, 0.929)
Epoch 51/200 | time=0.533s | train_loss=0.0239 | train_corr=(0.951, 0.983) | val_loss=0.0243 | val_corr=(0.949, 0.983) | test_loss=0.0445 | test_corr=(0.891, 0.932)
Epoch 52/200 | time=0.533s | train_loss=0.0226 | train_corr=(0.951, 0.984) | val_loss=0.0237 | val_corr=(0.952, 0.984) | test_loss=0.0457 | test_corr=(0.89, 0.928)
Epoch 53/200 | time=0.537s | train_loss=0.0225 | train_corr=(0.952, 0.987) | val_loss=0.0225 | val_corr=(0.949, 0.986) | test_loss=0.0443 | test_corr=(0.885, 0.937)
Epoch 54/200 | time=0.535s | train_loss=0.0227 | train_corr=(0.952, 0.986) | val_loss=0.0237 | val_corr=(0.951, 0.984) | test_loss=0.0452 | test_corr=(0.888, 0.93)
Epoch 55/200 | time=0.536s | train_loss=0.02 | train_corr=(0.954, 0.991) | val_loss=0.0212 | val_corr=(0.952, 0.987) | test_loss=0.0438 | test_corr=(0.89, 0.938)
Epoch 56/200 | time=0.538s | train_loss=0.0243 | train_corr=(0.951, 0.98) | val_loss=0.0208 | val_corr=(0.954, 0.988) | test_loss=0.0436 | test_corr=(0.891, 0.935)
Epoch 57/200 | time=0.534s | train_loss=0.0225 | train_corr=(0.951, 0.985) | val_loss=0.0253 | val_corr=(0.949, 0.977) | test_loss=0.0445 | test_corr=(0.894, 0.934)
Epoch 58/200 | time=0.535s | train_loss=0.0246 | train_corr=(0.952, 0.98) | val_loss=0.0263 | val_corr=(0.946, 0.974) | test_loss=0.0452 | test_corr=(0.888, 0.927)
Epoch 59/200 | time=0.532s | train_loss=0.0258 | train_corr=(0.948, 0.979) | val_loss=0.0249 | val_corr=(0.951, 0.984) | test_loss=0.0465 | test_corr=(0.888, 0.932)
Epoch 60/200 | time=0.535s | train_loss=0.0232 | train_corr=(0.952, 0.985) | val_loss=0.0254 | val_corr=(0.951, 0.98) | test_loss=0.0446 | test_corr=(0.896, 0.935)
Epoch 61/200 | time=0.535s | train_loss=0.023 | train_corr=(0.955, 0.985) | val_loss=0.0219 | val_corr=(0.954, 0.988) | test_loss=0.0453 | test_corr=(0.889, 0.934)
Epoch 62/200 | time=0.533s | train_loss=0.0237 | train_corr=(0.941, 0.987) | val_loss=0.0222 | val_corr=(0.952, 0.988) | test_loss=0.0455 | test_corr=(0.883, 0.937)
Epoch 63/200 | time=0.531s | train_loss=0.0244 | train_corr=(0.952, 0.98) | val_loss=0.0227 | val_corr=(0.95, 0.984) | test_loss=0.0444 | test_corr=(0.887, 0.939)
Epoch 64/200 | time=0.537s | train_loss=0.0193 | train_corr=(0.955, 0.99) | val_loss=0.0204 | val_corr=(0.955, 0.988) | test_loss=0.044 | test_corr=(0.892, 0.941)
Epoch 65/200 | time=0.537s | train_loss=0.0228 | train_corr=(0.951, 0.985) | val_loss=0.0221 | val_corr=(0.954, 0.986) | test_loss=0.0445 | test_corr=(0.891, 0.933)
Epoch 66/200 | time=0.535s | train_loss=0.0222 | train_corr=(0.955, 0.985) | val_loss=0.0227 | val_corr=(0.954, 0.986) | test_loss=0.0441 | test_corr=(0.893, 0.938)
Epoch 67/200 | time=0.538s | train_loss=0.0215 | train_corr=(0.954, 0.987) | val_loss=0.0219 | val_corr=(0.956, 0.985) | test_loss=0.0441 | test_corr=(0.893, 0.933)
Epoch 68/200 | time=0.532s | train_loss=0.0275 | train_corr=(0.95, 0.974) | val_loss=0.0248 | val_corr=(0.953, 0.981) | test_loss=0.046 | test_corr=(0.889, 0.928)
Epoch 69/200 | time=0.544s | train_loss=0.0264 | train_corr=(0.95, 0.976) | val_loss=0.025 | val_corr=(0.951, 0.981) | test_loss=0.0457 | test_corr=(0.891, 0.934)
Epoch 70/200 | time=0.534s | train_loss=0.0232 | train_corr=(0.951, 0.983) | val_loss=0.0215 | val_corr=(0.954, 0.989) | test_loss=0.0452 | test_corr=(0.886, 0.933)
Epoch 71/200 | time=0.536s | train_loss=0.0237 | train_corr=(0.954, 0.987) | val_loss=0.0252 | val_corr=(0.951, 0.979) | test_loss=0.0463 | test_corr=(0.887, 0.93)
Epoch 72/200 | time=0.549s | train_loss=0.0221 | train_corr=(0.953, 0.988) | val_loss=0.0238 | val_corr=(0.954, 0.984) | test_loss=0.0454 | test_corr=(0.891, 0.93)
Epoch 73/200 | time=0.542s | train_loss=0.0205 | train_corr=(0.954, 0.989) | val_loss=0.0208 | val_corr=(0.953, 0.988) | test_loss=0.0442 | test_corr=(0.888, 0.935)
Epoch 74/200 | time=0.541s | train_loss=0.0211 | train_corr=(0.956, 0.987) | val_loss=0.0233 | val_corr=(0.954, 0.98) | test_loss=0.0466 | test_corr=(0.888, 0.923)
Epoch 75/200 | time=0.537s | train_loss=0.0222 | train_corr=(0.953, 0.983) | val_loss=0.0231 | val_corr=(0.952, 0.983) | test_loss=0.0442 | test_corr=(0.892, 0.935)
Epoch 76/200 | time=0.539s | train_loss=0.0227 | train_corr=(0.951, 0.987) | val_loss=0.0233 | val_corr=(0.949, 0.986) | test_loss=0.045 | test_corr=(0.885, 0.934)
Epoch 77/200 | time=0.533s | train_loss=0.0204 | train_corr=(0.956, 0.988) | val_loss=0.0205 | val_corr=(0.957, 0.988) | test_loss=0.0434 | test_corr=(0.895, 0.935)
Epoch 78/200 | time=0.537s | train_loss=0.0254 | train_corr=(0.952, 0.974) | val_loss=0.0209 | val_corr=(0.956, 0.987) | test_loss=0.0447 | test_corr=(0.888, 0.933)
Epoch 79/200 | time=0.534s | train_loss=0.0236 | train_corr=(0.954, 0.979) | val_loss=0.0247 | val_corr=(0.952, 0.978) | test_loss=0.0475 | test_corr=(0.883, 0.92)
Epoch 80/200 | time=0.539s | train_loss=0.0226 | train_corr=(0.955, 0.985) | val_loss=0.0225 | val_corr=(0.953, 0.985) | test_loss=0.0468 | test_corr=(0.882, 0.929)
Epoch 81/200 | time=0.532s | train_loss=0.0222 | train_corr=(0.955, 0.984) | val_loss=0.0214 | val_corr=(0.956, 0.987) | test_loss=0.0463 | test_corr=(0.883, 0.928)
Epoch 82/200 | time=0.537s | train_loss=0.0226 | train_corr=(0.951, 0.985) | val_loss=0.0218 | val_corr=(0.953, 0.986) | test_loss=0.0438 | test_corr=(0.893, 0.937)
Epoch 83/200 | time=0.533s | train_loss=0.0209 | train_corr=(0.954, 0.99) | val_loss=0.0209 | val_corr=(0.956, 0.988) | test_loss=0.0444 | test_corr=(0.892, 0.935)
Epoch 84/200 | time=0.531s | train_loss=0.0217 | train_corr=(0.956, 0.987) | val_loss=0.0229 | val_corr=(0.957, 0.988) | test_loss=0.0456 | test_corr=(0.892, 0.938)
Epoch 85/200 | time=0.533s | train_loss=0.0207 | train_corr=(0.959, 0.989) | val_loss=0.022 | val_corr=(0.956, 0.987) | test_loss=0.0448 | test_corr=(0.894, 0.935)
Epoch 86/200 | time=0.531s | train_loss=0.0199 | train_corr=(0.957, 0.989) | val_loss=0.0201 | val_corr=(0.956, 0.987) | test_loss=0.044 | test_corr=(0.889, 0.938)
