Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/1000 | time=126.708s | train_loss=2.1417 | train_corr=(0.366, -0.006) | val_loss=2.1287 | val_corr=(0.365, 0.0) | test_loss=2.1237 | test_corr=(0.365, 0.002)
Epoch 2/1000 | time=1.415s | train_loss=2.0956 | train_corr=(0.37, 0.011) | val_loss=2.1132 | val_corr=(0.366, 0.006) | test_loss=2.1084 | test_corr=(0.366, 0.008)
Epoch 3/1000 | time=1.408s | train_loss=2.1106 | train_corr=(0.366, 0.022) | val_loss=2.1 | val_corr=(0.368, 0.032) | test_loss=2.0953 | test_corr=(0.368, 0.034)
Epoch 4/1000 | time=1.4s | train_loss=2.0797 | train_corr=(0.372, 0.131) | val_loss=2.0862 | val_corr=(0.374, 0.111) | test_loss=2.0816 | test_corr=(0.374, 0.113)
Epoch 5/1000 | time=1.408s | train_loss=2.0409 | train_corr=(0.407, 0.151) | val_loss=2.0527 | val_corr=(0.412, 0.149) | test_loss=2.0479 | test_corr=(0.414, 0.156)
Epoch 6/1000 | time=1.409s | train_loss=1.9785 | train_corr=(0.541, 0.125) | val_loss=1.9353 | val_corr=(0.537, 0.154) | test_loss=1.9299 | test_corr=(0.542, 0.158)
Epoch 7/1000 | time=1.405s | train_loss=1.6907 | train_corr=(0.551, 0.165) | val_loss=1.646 | val_corr=(0.545, 0.165) | test_loss=1.6426 | test_corr=(0.545, 0.173)
Epoch 8/1000 | time=1.422s | train_loss=1.5928 | train_corr=(0.541, 0.196) | val_loss=1.544 | val_corr=(0.546, 0.179) | test_loss=1.5402 | test_corr=(0.547, 0.187)
Epoch 9/1000 | time=1.422s | train_loss=1.5008 | train_corr=(0.544, 0.185) | val_loss=1.5118 | val_corr=(0.542, 0.181) | test_loss=1.5079 | test_corr=(0.542, 0.189)
Epoch 10/1000 | time=1.425s | train_loss=1.4062 | train_corr=(0.545, 0.174) | val_loss=1.4252 | val_corr=(0.546, 0.186) | test_loss=1.4211 | test_corr=(0.548, 0.195)
Epoch 11/1000 | time=1.425s | train_loss=1.4431 | train_corr=(0.551, 0.179) | val_loss=1.4012 | val_corr=(0.549, 0.186) | test_loss=1.3971 | test_corr=(0.55, 0.195)
Epoch 12/1000 | time=1.421s | train_loss=1.4074 | train_corr=(0.56, 0.212) | val_loss=1.3849 | val_corr=(0.55, 0.191) | test_loss=1.3807 | test_corr=(0.552, 0.199)
Epoch 13/1000 | time=1.402s | train_loss=1.3734 | train_corr=(0.566, 0.195) | val_loss=1.3652 | val_corr=(0.552, 0.19) | test_loss=1.361 | test_corr=(0.554, 0.198)
Epoch 14/1000 | time=1.419s | train_loss=1.3642 | train_corr=(0.572, 0.189) | val_loss=1.3512 | val_corr=(0.551, 0.196) | test_loss=1.3472 | test_corr=(0.553, 0.203)
Epoch 15/1000 | time=1.412s | train_loss=1.4392 | train_corr=(0.537, 0.185) | val_loss=1.3751 | val_corr=(0.555, 0.193) | test_loss=1.3711 | test_corr=(0.556, 0.201)
Epoch 16/1000 | time=1.411s | train_loss=1.345 | train_corr=(0.562, 0.191) | val_loss=1.3295 | val_corr=(0.555, 0.194) | test_loss=1.3256 | test_corr=(0.557, 0.202)
Epoch 17/1000 | time=1.409s | train_loss=1.3074 | train_corr=(0.553, 0.2) | val_loss=1.3386 | val_corr=(0.555, 0.197) | test_loss=1.3346 | test_corr=(0.557, 0.204)
Epoch 18/1000 | time=1.397s | train_loss=1.3613 | train_corr=(0.553, 0.2) | val_loss=1.31 | val_corr=(0.556, 0.198) | test_loss=1.306 | test_corr=(0.558, 0.205)
Epoch 19/1000 | time=1.394s | train_loss=1.3518 | train_corr=(0.552, 0.206) | val_loss=1.358 | val_corr=(0.558, 0.2) | test_loss=1.3539 | test_corr=(0.56, 0.207)
Epoch 20/1000 | time=1.424s | train_loss=1.3193 | train_corr=(0.565, 0.204) | val_loss=1.3231 | val_corr=(0.556, 0.2) | test_loss=1.319 | test_corr=(0.558, 0.207)
Epoch 21/1000 | time=1.41s | train_loss=1.3264 | train_corr=(0.554, 0.189) | val_loss=1.3192 | val_corr=(0.558, 0.199) | test_loss=1.3154 | test_corr=(0.56, 0.207)
Epoch 22/1000 | time=1.404s | train_loss=1.3094 | train_corr=(0.552, 0.195) | val_loss=1.3394 | val_corr=(0.556, 0.2) | test_loss=1.3357 | test_corr=(0.558, 0.207)
Epoch 23/1000 | time=1.426s | train_loss=1.3044 | train_corr=(0.558, 0.175) | val_loss=1.3082 | val_corr=(0.556, 0.2) | test_loss=1.3044 | test_corr=(0.558, 0.207)
