Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 12:11:31 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=100.0, λcurl=10.0)
Epoch 1/1000 | time=127.242s | train_loss=0.3555 | train_corr=(0.361, 0.003) | val_loss=0.3549 | val_corr=(0.365, 0.002) | test_loss=0.3546 | test_corr=(0.365, 0.003)
Epoch 2/1000 | time=0.652s | train_loss=0.3513 | train_corr=(0.364, -0.002) | val_loss=0.352 | val_corr=(0.365, 0.004) | test_loss=0.3517 | test_corr=(0.366, 0.004)
Epoch 3/1000 | time=0.629s | train_loss=0.3516 | train_corr=(0.365, 0.006) | val_loss=0.351 | val_corr=(0.366, 0.007) | test_loss=0.3507 | test_corr=(0.366, 0.007)
Epoch 4/1000 | time=0.642s | train_loss=0.3457 | train_corr=(0.367, 0.017) | val_loss=0.3503 | val_corr=(0.366, 0.011) | test_loss=0.3501 | test_corr=(0.366, 0.011)
Epoch 5/1000 | time=0.632s | train_loss=0.3487 | train_corr=(0.364, 0.017) | val_loss=0.35 | val_corr=(0.366, 0.019) | test_loss=0.3498 | test_corr=(0.366, 0.019)
Epoch 6/1000 | time=0.639s | train_loss=0.3519 | train_corr=(0.369, 0.029) | val_loss=0.3497 | val_corr=(0.367, 0.035) | test_loss=0.3495 | test_corr=(0.367, 0.034)
Epoch 7/1000 | time=0.635s | train_loss=0.3492 | train_corr=(0.366, 0.067) | val_loss=0.3493 | val_corr=(0.368, 0.07) | test_loss=0.3492 | test_corr=(0.369, 0.068)
Epoch 8/1000 | time=0.634s | train_loss=0.3499 | train_corr=(0.372, 0.114) | val_loss=0.3489 | val_corr=(0.372, 0.119) | test_loss=0.3488 | test_corr=(0.372, 0.117)
Epoch 9/1000 | time=0.639s | train_loss=0.3446 | train_corr=(0.383, 0.156) | val_loss=0.348 | val_corr=(0.38, 0.152) | test_loss=0.3479 | test_corr=(0.38, 0.151)
Epoch 10/1000 | time=0.638s | train_loss=0.3502 | train_corr=(0.389, 0.183) | val_loss=0.347 | val_corr=(0.401, 0.165) | test_loss=0.3469 | test_corr=(0.402, 0.168)
Epoch 11/1000 | time=0.63s | train_loss=0.3419 | train_corr=(0.422, 0.198) | val_loss=0.3434 | val_corr=(0.423, 0.188) | test_loss=0.3433 | test_corr=(0.424, 0.189)
Epoch 12/1000 | time=0.631s | train_loss=0.3307 | train_corr=(0.486, 0.183) | val_loss=0.3335 | val_corr=(0.485, 0.176) | test_loss=0.3333 | test_corr=(0.489, 0.178)
Epoch 13/1000 | time=0.636s | train_loss=0.3243 | train_corr=(0.534, 0.168) | val_loss=0.3265 | val_corr=(0.535, 0.165) | test_loss=0.3264 | test_corr=(0.536, 0.169)
Epoch 14/1000 | time=0.635s | train_loss=0.3257 | train_corr=(0.545, 0.166) | val_loss=0.3307 | val_corr=(0.525, 0.177) | test_loss=0.331 | test_corr=(0.524, 0.181)
