Running on host gpu015
Using 8 Julia threads
Starting at Sat Apr 11 09:40:42 CEST 2026
Loading Modules
Finished Loading Modules
Running sweep_node_retrain.jl
Iter 1/250 | loss=13860.97 | avg_time=50.869s/iter | elapsed=50.9s | ETA=12666.4s
Iter 10/250 | loss=9592.603 | avg_time=5.896s/iter | elapsed=59.0s | ETA=1415.0s
Iter 20/250 | loss=5854.3394 | avg_time=3.083s/iter | elapsed=61.7s | ETA=709.0s
Iter 30/250 | loss=3560.0212 | avg_time=2.143s/iter | elapsed=64.3s | ETA=471.4s
Iter 40/250 | loss=2600.7988 | avg_time=1.677s/iter | elapsed=67.1s | ETA=352.2s
Iter 50/250 | loss=1973.6652 | avg_time=1.395s/iter | elapsed=69.7s | ETA=278.9s
Iter 60/250 | loss=1513.3721 | avg_time=1.205s/iter | elapsed=72.3s | ETA=228.9s
Iter 70/250 | loss=1213.5409 | avg_time=1.071s/iter | elapsed=75.0s | ETA=192.9s
Iter 80/250 | loss=1002.64 | avg_time=0.97s/iter | elapsed=77.6s | ETA=164.9s
Iter 90/250 | loss=883.0796 | avg_time=0.891s/iter | elapsed=80.2s | ETA=142.6s
Iter 100/250 | loss=764.2592 | avg_time=0.828s/iter | elapsed=82.8s | ETA=124.2s
Iter 110/250 | loss=655.97076 | avg_time=0.776s/iter | elapsed=85.4s | ETA=108.7s
Iter 120/250 | loss=622.7106 | avg_time=0.733s/iter | elapsed=87.9s | ETA=95.3s
Iter 130/250 | loss=588.386 | avg_time=0.696s/iter | elapsed=90.5s | ETA=83.6s
Iter 140/250 | loss=522.18 | avg_time=0.666s/iter | elapsed=93.2s | ETA=73.3s
Iter 150/250 | loss=533.28577 | avg_time=0.642s/iter | elapsed=96.3s | ETA=64.2s
Iter 160/250 | loss=499.7027 | avg_time=0.619s/iter | elapsed=99.0s | ETA=55.7s
Iter 170/250 | loss=482.5547 | avg_time=0.597s/iter | elapsed=101.5s | ETA=47.8s
Iter 180/250 | loss=396.52786 | avg_time=0.579s/iter | elapsed=104.1s | ETA=40.5s
Iter 190/250 | loss=388.99857 | avg_time=0.562s/iter | elapsed=106.7s | ETA=33.7s
Iter 200/250 | loss=412.928 | avg_time=0.546s/iter | elapsed=109.2s | ETA=27.3s
Iter 210/250 | loss=402.00488 | avg_time=0.532s/iter | elapsed=111.6s | ETA=21.3s
Iter 220/250 | loss=360.0105 | avg_time=0.519s/iter | elapsed=114.2s | ETA=15.6s
Iter 230/250 | loss=351.35822 | avg_time=0.508s/iter | elapsed=116.7s | ETA=10.2s
Iter 240/250 | loss=399.4903 | avg_time=0.497s/iter | elapsed=119.2s | ETA=5.0s
Iter 250/250 | loss=361.95114 | avg_time=0.487s/iter | elapsed=121.7s | ETA=0.0s
Iter 250/250 | loss=340.55554 | avg_time=0.488s/iter | elapsed=122.0s | ETA=0.0s
Iter 1/50 | loss=6587.9736 | avg_time=0.457s/iter | elapsed=0.5s | ETA=22.4s
Iter 10/50 | loss=5327.303 | avg_time=0.502s/iter | elapsed=5.0s | ETA=20.1s
Iter 20/50 | loss=4901.8457 | avg_time=0.504s/iter | elapsed=10.1s | ETA=15.1s
Iter 30/50 | loss=4547.577 | avg_time=0.499s/iter | elapsed=15.0s | ETA=10.0s
Iter 40/50 | loss=4298.5947 | avg_time=0.496s/iter | elapsed=19.8s | ETA=5.0s
Iter 50/50 | loss=4088.455 | avg_time=0.494s/iter | elapsed=24.7s | ETA=0.0s
Iter 50/50 | loss=4088.455 | avg_time=0.503s/iter | elapsed=25.2s | ETA=0.0s
Iter 1/100 | loss=6587.9736 | avg_time=0.453s/iter | elapsed=0.5s | ETA=44.9s
Iter 10/100 | loss=5327.303 | avg_time=0.495s/iter | elapsed=4.9s | ETA=44.5s
Iter 20/100 | loss=4901.8457 | avg_time=0.495s/iter | elapsed=9.9s | ETA=39.6s
Iter 30/100 | loss=4547.577 | avg_time=0.49s/iter | elapsed=14.7s | ETA=34.3s
