Running on host gpu012
Using 8 Julia threads
Starting at Sun Apr 12 16:57:13 CEST 2026
Loading Modules
Finished Loading Modules
Running sweep_node_retrain.jl
Iter 1/250 | loss=13860.97 | avg_time=49.064s/iter | elapsed=49.1s | ETA=12216.9s
Iter 10/250 | loss=9592.603 | avg_time=5.489s/iter | elapsed=54.9s | ETA=1317.3s
Iter 20/250 | loss=5854.3394 | avg_time=2.868s/iter | elapsed=57.4s | ETA=659.7s
Iter 30/250 | loss=3560.0212 | avg_time=1.994s/iter | elapsed=59.8s | ETA=438.8s
Iter 40/250 | loss=2600.7988 | avg_time=1.559s/iter | elapsed=62.3s | ETA=327.3s
Iter 50/250 | loss=1973.6652 | avg_time=1.298s/iter | elapsed=64.9s | ETA=259.6s
Iter 60/250 | loss=1513.3721 | avg_time=1.123s/iter | elapsed=67.4s | ETA=213.4s
Iter 70/250 | loss=1213.5409 | avg_time=0.998s/iter | elapsed=69.9s | ETA=179.7s
Iter 80/250 | loss=1002.64 | avg_time=0.905s/iter | elapsed=72.4s | ETA=153.9s
Iter 90/250 | loss=883.0796 | avg_time=0.834s/iter | elapsed=75.0s | ETA=133.4s
Iter 100/250 | loss=764.2592 | avg_time=0.775s/iter | elapsed=77.5s | ETA=116.3s
Iter 110/250 | loss=655.97076 | avg_time=0.727s/iter | elapsed=80.0s | ETA=101.8s
Iter 120/250 | loss=622.7106 | avg_time=0.687s/iter | elapsed=82.5s | ETA=89.3s
Iter 130/250 | loss=588.386 | avg_time=0.653s/iter | elapsed=84.9s | ETA=78.4s
Iter 140/250 | loss=522.18 | avg_time=0.624s/iter | elapsed=87.4s | ETA=68.7s
Iter 150/250 | loss=533.28577 | avg_time=0.599s/iter | elapsed=89.9s | ETA=59.9s
Iter 160/250 | loss=499.7027 | avg_time=0.577s/iter | elapsed=92.3s | ETA=51.9s
Iter 170/250 | loss=482.5547 | avg_time=0.558s/iter | elapsed=94.8s | ETA=44.6s
Iter 180/250 | loss=396.52786 | avg_time=0.54s/iter | elapsed=97.3s | ETA=37.8s
Iter 190/250 | loss=388.99857 | avg_time=0.525s/iter | elapsed=99.8s | ETA=31.5s
Iter 200/250 | loss=412.928 | avg_time=0.511s/iter | elapsed=102.3s | ETA=25.6s
Iter 210/250 | loss=402.00488 | avg_time=0.499s/iter | elapsed=104.8s | ETA=20.0s
Iter 220/250 | loss=360.0105 | avg_time=0.488s/iter | elapsed=107.3s | ETA=14.6s
Iter 230/250 | loss=351.35822 | avg_time=0.478s/iter | elapsed=109.8s | ETA=9.6s
Iter 240/250 | loss=399.4903 | avg_time=0.468s/iter | elapsed=112.3s | ETA=4.7s
Iter 250/250 | loss=361.95114 | avg_time=0.459s/iter | elapsed=114.8s | ETA=0.0s
Iter 250/250 | loss=340.55554 | avg_time=0.46s/iter | elapsed=115.1s | ETA=0.0s
Iter 1/50 | loss=6587.9736 | avg_time=0.435s/iter | elapsed=0.4s | ETA=21.3s
Iter 10/50 | loss=5327.303 | avg_time=0.491s/iter | elapsed=4.9s | ETA=19.7s
Iter 20/50 | loss=4901.8457 | avg_time=0.488s/iter | elapsed=9.8s | ETA=14.6s
Iter 30/50 | loss=4547.577 | avg_time=0.486s/iter | elapsed=14.6s | ETA=9.7s
Iter 40/50 | loss=4298.5947 | avg_time=0.483s/iter | elapsed=19.3s | ETA=4.8s
Iter 50/50 | loss=4088.455 | avg_time=0.481s/iter | elapsed=24.1s | ETA=0.0s
Iter 50/50 | loss=4088.455 | avg_time=0.491s/iter | elapsed=24.5s | ETA=0.0s
Iter 1/100 | loss=4088.455 | avg_time=0.356s/iter | elapsed=0.4s | ETA=35.3s
Iter 10/100 | loss=3867.692 | avg_time=0.466s/iter | elapsed=4.7s | ETA=41.9s
Iter 20/100 | loss=3658.9668 | avg_time=0.476s/iter | elapsed=9.5s | ETA=38.1s
