Running on host gpu014
Using 8 Julia threads
Starting at Thu Apr  2 22:29:40 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_retrain.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/500 | time=124.299s | train_loss=0.8174 | train_corr=(0.365, 0.024) | val_loss=0.8225 | val_corr=(0.368, 0.014) | test_loss=0.8213 | test_corr=(0.368, 0.018)
Epoch 2/500 | time=0.667s | train_loss=0.6317 | train_corr=(0.29, -0.007) | val_loss=0.5941 | val_corr=(0.407, 0.002) | test_loss=0.592 | test_corr=(0.412, 0.014)
Epoch 3/500 | time=0.664s | train_loss=0.4117 | train_corr=(0.449, -0.001) | val_loss=0.4185 | val_corr=(0.477, 0.006) | test_loss=0.4173 | test_corr=(0.487, 0.019)
Epoch 4/500 | time=0.662s | train_loss=0.3796 | train_corr=(0.543, 0.001) | val_loss=0.3814 | val_corr=(0.538, -0.006) | test_loss=0.3826 | test_corr=(0.533, 0.004)
Epoch 5/500 | time=0.653s | train_loss=0.3661 | train_corr=(0.551, 0.028) | val_loss=0.3702 | val_corr=(0.557, 0.034) | test_loss=0.371 | test_corr=(0.554, 0.029)
Epoch 6/500 | time=0.653s | train_loss=0.3727 | train_corr=(0.542, 0.036) | val_loss=0.3658 | val_corr=(0.555, 0.032) | test_loss=0.366 | test_corr=(0.553, 0.021)
Epoch 7/500 | time=0.652s | train_loss=0.3582 | train_corr=(0.573, 0.031) | val_loss=0.3627 | val_corr=(0.557, 0.039) | test_loss=0.3636 | test_corr=(0.554, 0.028)
Epoch 8/500 | time=0.648s | train_loss=0.3634 | train_corr=(0.553, 0.013) | val_loss=0.3616 | val_corr=(0.551, 0.048) | test_loss=0.3615 | test_corr=(0.549, 0.037)
Epoch 9/500 | time=0.649s | train_loss=0.3525 | train_corr=(0.57, 0.044) | val_loss=0.3614 | val_corr=(0.561, 0.053) | test_loss=0.3627 | test_corr=(0.558, 0.046)
Epoch 10/500 | time=0.657s | train_loss=0.3622 | train_corr=(0.554, 0.048) | val_loss=0.3565 | val_corr=(0.563, 0.056) | test_loss=0.3572 | test_corr=(0.559, 0.05)
Epoch 11/500 | time=0.655s | train_loss=0.3546 | train_corr=(0.559, 0.083) | val_loss=0.3561 | val_corr=(0.566, 0.067) | test_loss=0.3566 | test_corr=(0.561, 0.062)
Epoch 12/500 | time=0.654s | train_loss=0.3535 | train_corr=(0.561, 0.079) | val_loss=0.3587 | val_corr=(0.557, 0.074) | test_loss=0.3601 | test_corr=(0.552, 0.071)
Epoch 13/500 | time=0.654s | train_loss=0.3525 | train_corr=(0.576, 0.092) | val_loss=0.3539 | val_corr=(0.564, 0.088) | test_loss=0.355 | test_corr=(0.559, 0.086)
Epoch 14/500 | time=0.654s | train_loss=0.3449 | train_corr=(0.594, 0.094) | val_loss=0.3544 | val_corr=(0.566, 0.099) | test_loss=0.355 | test_corr=(0.561, 0.097)
Epoch 15/500 | time=0.657s | train_loss=0.3553 | train_corr=(0.566, 0.118) | val_loss=0.3511 | val_corr=(0.564, 0.12) | test_loss=0.3514 | test_corr=(0.559, 0.118)
