Running on host gpu012
Using 8 Julia threads
Starting at Fri Apr 10 16:47:45 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_retrain.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/500 | time=114.032s | train_loss=0.8179 | train_corr=(0.365, 0.024) | val_loss=0.8228 | val_corr=(0.368, 0.014) | test_loss=0.8216 | test_corr=(0.368, 0.018)
Epoch 2/500 | time=0.632s | train_loss=0.6293 | train_corr=(0.286, -0.007) | val_loss=0.5616 | val_corr=(0.408, 0.01) | test_loss=0.5592 | test_corr=(0.414, 0.021)
Epoch 3/500 | time=0.642s | train_loss=0.4155 | train_corr=(0.487, -0.003) | val_loss=0.4036 | val_corr=(0.48, 0.008) | test_loss=0.4019 | test_corr=(0.489, 0.021)
Epoch 4/500 | time=0.628s | train_loss=0.3691 | train_corr=(0.539, -0.013) | val_loss=0.376 | val_corr=(0.542, -0.015) | test_loss=0.376 | test_corr=(0.539, -0.004)
Epoch 5/500 | time=0.645s | train_loss=0.3661 | train_corr=(0.555, 0.02) | val_loss=0.3671 | val_corr=(0.561, 0.018) | test_loss=0.3677 | test_corr=(0.558, 0.015)
Epoch 6/500 | time=0.645s | train_loss=0.3707 | train_corr=(0.547, 0.036) | val_loss=0.3635 | val_corr=(0.559, 0.029) | test_loss=0.3644 | test_corr=(0.556, 0.017)
Epoch 7/500 | time=0.621s | train_loss=0.3564 | train_corr=(0.575, 0.037) | val_loss=0.361 | val_corr=(0.559, 0.034) | test_loss=0.3621 | test_corr=(0.556, 0.022)
Epoch 8/500 | time=0.618s | train_loss=0.3656 | train_corr=(0.552, 0.005) | val_loss=0.3604 | val_corr=(0.561, 0.038) | test_loss=0.3619 | test_corr=(0.558, 0.029)
Epoch 9/500 | time=0.625s | train_loss=0.3514 | train_corr=(0.576, 0.058) | val_loss=0.3593 | val_corr=(0.561, 0.044) | test_loss=0.3591 | test_corr=(0.558, 0.037)
Epoch 10/500 | time=0.624s | train_loss=0.362 | train_corr=(0.554, 0.016) | val_loss=0.3553 | val_corr=(0.564, 0.053) | test_loss=0.3563 | test_corr=(0.56, 0.049)
Epoch 11/500 | time=0.615s | train_loss=0.3525 | train_corr=(0.562, 0.077) | val_loss=0.3566 | val_corr=(0.563, 0.068) | test_loss=0.3569 | test_corr=(0.558, 0.063)
Epoch 12/500 | time=0.629s | train_loss=0.3479 | train_corr=(0.57, 0.113) | val_loss=0.3536 | val_corr=(0.571, 0.098) | test_loss=0.3551 | test_corr=(0.568, 0.096)
Epoch 13/500 | time=0.619s | train_loss=0.3525 | train_corr=(0.592, 0.113) | val_loss=0.35 | val_corr=(0.568, 0.14) | test_loss=0.3503 | test_corr=(0.565, 0.138)
Epoch 14/500 | time=0.629s | train_loss=0.3407 | train_corr=(0.596, 0.151) | val_loss=0.3522 | val_corr=(0.568, 0.146) | test_loss=0.3528 | test_corr=(0.562, 0.144)
Epoch 15/500 | time=0.626s | train_loss=0.3492 | train_corr=(0.564, 0.151) | val_loss=0.3446 | val_corr=(0.57, 0.148) | test_loss=0.3465 | test_corr=(0.562, 0.143)
Epoch 16/500 | time=0.62s | train_loss=0.3347 | train_corr=(0.586, 0.159) | val_loss=0.3371 | val_corr=(0.58, 0.167) | test_loss=0.339 | test_corr=(0.575, 0.165)
Epoch 17/500 | time=0.618s | train_loss=0.3366 | train_corr=(0.582, 0.188) | val_loss=0.334 | val_corr=(0.584, 0.187) | test_loss=0.3365 | test_corr=(0.577, 0.187)
Epoch 18/500 | time=0.613s | train_loss=0.3238 | train_corr=(0.603, 0.202) | val_loss=0.3298 | val_corr=(0.596, 0.206) | test_loss=0.3334 | test_corr=(0.584, 0.203)
Epoch 19/500 | time=0.612s | train_loss=0.3184 | train_corr=(0.607, 0.242) | val_loss=0.3199 | val_corr=(0.606, 0.254) | test_loss=0.3224 | test_corr=(0.597, 0.247)
Epoch 20/500 | time=0.626s | train_loss=0.3185 | train_corr=(0.61, 0.329) | val_loss=0.313 | val_corr=(0.618, 0.335) | test_loss=0.3161 | test_corr=(0.606, 0.323)
Epoch 21/500 | time=0.612s | train_loss=0.3102 | train_corr=(0.629, 0.368) | val_loss=0.3067 | val_corr=(0.633, 0.422) | test_loss=0.311 | test_corr=(0.621, 0.405)
Epoch 22/500 | time=0.619s | train_loss=0.2953 | train_corr=(0.648, 0.478) | val_loss=0.3008 | val_corr=(0.646, 0.472) | test_loss=0.3044 | test_corr=(0.632, 0.449)
Epoch 23/500 | time=0.617s | train_loss=0.2951 | train_corr=(0.651, 0.456) | val_loss=0.2964 | val_corr=(0.663, 0.522) | test_loss=0.2995 | test_corr=(0.649, 0.49)
Epoch 24/500 | time=0.619s | train_loss=0.2834 | train_corr=(0.67, 0.62) | val_loss=0.2773 | val_corr=(0.686, 0.633) | test_loss=0.284 | test_corr=(0.666, 0.599)
Epoch 25/500 | time=0.621s | train_loss=0.2665 | train_corr=(0.704, 0.716) | val_loss=0.277 | val_corr=(0.694, 0.727) | test_loss=0.2798 | test_corr=(0.676, 0.712)
Epoch 26/500 | time=0.614s | train_loss=0.269 | train_corr=(0.69, 0.728) | val_loss=0.2594 | val_corr=(0.707, 0.76) | test_loss=0.2661 | test_corr=(0.685, 0.736)
Epoch 27/500 | time=0.611s | train_loss=0.2553 | train_corr=(0.714, 0.796) | val_loss=0.2477 | val_corr=(0.734, 0.794) | test_loss=0.26 | test_corr=(0.711, 0.773)
Epoch 28/500 | time=0.612s | train_loss=0.2592 | train_corr=(0.742, 0.805) | val_loss=0.2445 | val_corr=(0.741, 0.813) | test_loss=0.2553 | test_corr=(0.721, 0.79)
Epoch 29/500 | time=0.614s | train_loss=0.2355 | train_corr=(0.753, 0.841) | val_loss=0.2323 | val_corr=(0.757, 0.848) | test_loss=0.243 | test_corr=(0.733, 0.822)
Epoch 30/500 | time=0.611s | train_loss=0.225 | train_corr=(0.757, 0.869) | val_loss=0.2269 | val_corr=(0.761, 0.869) | test_loss=0.2368 | test_corr=(0.736, 0.842)
Epoch 31/500 | time=0.621s | train_loss=0.2232 | train_corr=(0.771, 0.862) | val_loss=0.2284 | val_corr=(0.77, 0.884) | test_loss=0.2407 | test_corr=(0.742, 0.86)
Epoch 32/500 | time=0.621s | train_loss=0.2222 | train_corr=(0.763, 0.878) | val_loss=0.2377 | val_corr=(0.754, 0.906) | test_loss=0.2433 | test_corr=(0.736, 0.879)
Epoch 33/500 | time=0.632s | train_loss=0.2123 | train_corr=(0.772, 0.894) | val_loss=0.2214 | val_corr=(0.759, 0.872) | test_loss=0.234 | test_corr=(0.735, 0.845)
Epoch 34/500 | time=0.63s | train_loss=0.1997 | train_corr=(0.793, 0.901) | val_loss=0.2022 | val_corr=(0.795, 0.902) | test_loss=0.2146 | test_corr=(0.773, 0.88)
Epoch 35/500 | time=0.631s | train_loss=0.2025 | train_corr=(0.798, 0.904) | val_loss=0.1959 | val_corr=(0.796, 0.92) | test_loss=0.2126 | test_corr=(0.764, 0.895)
Epoch 36/500 | time=0.622s | train_loss=0.1941 | train_corr=(0.797, 0.914) | val_loss=0.1936 | val_corr=(0.8, 0.927) | test_loss=0.2064 | test_corr=(0.781, 0.901)
Epoch 37/500 | time=0.633s | train_loss=0.1934 | train_corr=(0.791, 0.93) | val_loss=0.187 | val_corr=(0.796, 0.936) | test_loss=0.2017 | test_corr=(0.777, 0.907)
Epoch 38/500 | time=0.631s | train_loss=0.1762 | train_corr=(0.831, 0.942) | val_loss=0.1778 | val_corr=(0.821, 0.942) | test_loss=0.1974 | test_corr=(0.79, 0.913)
Epoch 39/500 | time=0.635s | train_loss=0.1847 | train_corr=(0.812, 0.941) | val_loss=0.1769 | val_corr=(0.823, 0.946) | test_loss=0.2004 | test_corr=(0.79, 0.912)
Epoch 40/500 | time=0.632s | train_loss=0.1793 | train_corr=(0.82, 0.941) | val_loss=0.2048 | val_corr=(0.811, 0.933) | test_loss=0.2299 | test_corr=(0.777, 0.899)
Epoch 41/500 | time=0.634s | train_loss=0.1769 | train_corr=(0.825, 0.935) | val_loss=0.1805 | val_corr=(0.823, 0.937) | test_loss=0.1988 | test_corr=(0.789, 0.904)
Epoch 42/500 | time=0.641s | train_loss=0.1626 | train_corr=(0.834, 0.946) | val_loss=0.1709 | val_corr=(0.833, 0.939) | test_loss=0.1907 | test_corr=(0.801, 0.899)
Epoch 43/500 | time=0.645s | train_loss=0.1556 | train_corr=(0.843, 0.955) | val_loss=0.1636 | val_corr=(0.831, 0.949) | test_loss=0.1854 | test_corr=(0.801, 0.907)
Epoch 44/500 | time=0.638s | train_loss=0.1533 | train_corr=(0.849, 0.958) | val_loss=0.1549 | val_corr=(0.848, 0.953) | test_loss=0.1799 | test_corr=(0.813, 0.908)
Epoch 45/500 | time=0.636s | train_loss=0.1461 | train_corr=(0.856, 0.962) | val_loss=0.1463 | val_corr=(0.852, 0.96) | test_loss=0.1753 | test_corr=(0.811, 0.917)
