Running on host gpu011
Using 12 Julia threads
Starting at Thu Apr  9 16:41:27 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_retrain.jl
Epoch 1/400 | time=118.631s | train_loss=0.8175 | train_corr=(0.365, 0.025) | val_loss=0.8228 | val_corr=(0.368, 0.014) | test_loss=0.8216 | test_corr=(0.368, 0.018)
Epoch 2/400 | time=0.688s | train_loss=0.6345 | train_corr=(0.288, -0.007) | val_loss=0.5418 | val_corr=(0.412, 0.007) | test_loss=0.5395 | test_corr=(0.417, 0.018)
Epoch 3/400 | time=0.663s | train_loss=0.4185 | train_corr=(0.442, -0.005) | val_loss=0.4092 | val_corr=(0.486, 0.006) | test_loss=0.4077 | test_corr=(0.493, 0.019)
Epoch 4/400 | time=0.668s | train_loss=0.3702 | train_corr=(0.54, -0.007) | val_loss=0.3775 | val_corr=(0.535, -0.01) | test_loss=0.3775 | test_corr=(0.532, 0.001)
Epoch 5/400 | time=0.672s | train_loss=0.3665 | train_corr=(0.55, 0.025) | val_loss=0.3692 | val_corr=(0.556, 0.026) | test_loss=0.3699 | test_corr=(0.554, 0.021)
Epoch 6/400 | time=0.666s | train_loss=0.3729 | train_corr=(0.547, 0.037) | val_loss=0.3652 | val_corr=(0.554, 0.031) | test_loss=0.3656 | test_corr=(0.552, 0.021)
Epoch 7/400 | time=0.672s | train_loss=0.3578 | train_corr=(0.57, 0.025) | val_loss=0.3625 | val_corr=(0.552, 0.035) | test_loss=0.3629 | test_corr=(0.55, 0.023)
Epoch 8/400 | time=0.68s | train_loss=0.3704 | train_corr=(0.55, 0.012) | val_loss=0.3819 | val_corr=(0.538, 0.038) | test_loss=0.3791 | test_corr=(0.539, 0.027)
Epoch 9/400 | time=0.66s | train_loss=0.3599 | train_corr=(0.563, 0.041) | val_loss=0.3629 | val_corr=(0.56, 0.044) | test_loss=0.3642 | test_corr=(0.556, 0.039)
Epoch 10/400 | time=0.661s | train_loss=0.3681 | train_corr=(0.553, 0.041) | val_loss=0.3595 | val_corr=(0.562, 0.052) | test_loss=0.3602 | test_corr=(0.559, 0.047)
Epoch 11/400 | time=0.681s | train_loss=0.3557 | train_corr=(0.56, 0.083) | val_loss=0.3588 | val_corr=(0.562, 0.056) | test_loss=0.3591 | test_corr=(0.558, 0.049)
Epoch 12/400 | time=0.661s | train_loss=0.352 | train_corr=(0.571, 0.05) | val_loss=0.3574 | val_corr=(0.568, 0.057) | test_loss=0.3575 | test_corr=(0.566, 0.052)
Epoch 13/400 | time=0.663s | train_loss=0.3468 | train_corr=(0.589, 0.076) | val_loss=0.3567 | val_corr=(0.569, 0.072) | test_loss=0.358 | test_corr=(0.564, 0.068)
