Running on host gpu018
Using 12 Julia threads
Starting at Fri Apr 10 08:51:51 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_retrain.jl
Epoch 1/400 | time=113.812s | train_loss=0.8177 | train_corr=(0.365, 0.024) | val_loss=0.8228 | val_corr=(0.368, 0.014) | test_loss=0.8216 | test_corr=(0.368, 0.018)
Epoch 2/400 | time=0.658s | train_loss=0.6273 | train_corr=(0.286, -0.008) | val_loss=0.5656 | val_corr=(0.408, 0.01) | test_loss=0.5633 | test_corr=(0.414, 0.021)
Epoch 3/400 | time=0.651s | train_loss=0.4107 | train_corr=(0.477, -0.003) | val_loss=0.4153 | val_corr=(0.491, 0.009) | test_loss=0.4136 | test_corr=(0.5, 0.021)
Epoch 4/400 | time=0.646s | train_loss=0.3715 | train_corr=(0.542, -0.009) | val_loss=0.3856 | val_corr=(0.542, -0.014) | test_loss=0.3862 | test_corr=(0.543, -0.003)
Epoch 5/400 | time=0.663s | train_loss=0.3661 | train_corr=(0.552, 0.02) | val_loss=0.374 | val_corr=(0.552, 0.024) | test_loss=0.3727 | test_corr=(0.55, 0.02)
Epoch 6/400 | time=0.657s | train_loss=0.3753 | train_corr=(0.548, 0.033) | val_loss=0.3668 | val_corr=(0.556, 0.028) | test_loss=0.3668 | test_corr=(0.553, 0.018)
Epoch 7/400 | time=0.677s | train_loss=0.3587 | train_corr=(0.574, 0.025) | val_loss=0.3635 | val_corr=(0.554, 0.034) | test_loss=0.3636 | test_corr=(0.551, 0.022)
Epoch 8/400 | time=0.65s | train_loss=0.3636 | train_corr=(0.55, -0.013) | val_loss=0.3632 | val_corr=(0.551, 0.036) | test_loss=0.3628 | test_corr=(0.55, 0.024)
Epoch 9/400 | time=0.663s | train_loss=0.3523 | train_corr=(0.571, 0.039) | val_loss=0.3592 | val_corr=(0.559, 0.043) | test_loss=0.3596 | test_corr=(0.556, 0.037)
Epoch 10/400 | time=0.651s | train_loss=0.3626 | train_corr=(0.555, 0.013) | val_loss=0.3565 | val_corr=(0.563, 0.05) | test_loss=0.357 | test_corr=(0.559, 0.047)
Epoch 11/400 | time=0.668s | train_loss=0.3524 | train_corr=(0.561, 0.084) | val_loss=0.3566 | val_corr=(0.564, 0.06) | test_loss=0.3567 | test_corr=(0.56, 0.059)
Epoch 12/400 | time=0.657s | train_loss=0.3734 | train_corr=(0.569, 0.074) | val_loss=0.3589 | val_corr=(0.56, 0.067) | test_loss=0.3585 | test_corr=(0.56, 0.066)
Epoch 13/400 | time=0.662s | train_loss=0.3527 | train_corr=(0.58, 0.059) | val_loss=0.3616 | val_corr=(0.563, 0.068) | test_loss=0.361 | test_corr=(0.561, 0.067)
Epoch 14/400 | time=0.649s | train_loss=0.3462 | train_corr=(0.594, 0.052) | val_loss=0.3538 | val_corr=(0.574, 0.066) | test_loss=0.3546 | test_corr=(0.568, 0.068)
Epoch 15/400 | time=0.662s | train_loss=0.3547 | train_corr=(0.569, 0.079) | val_loss=0.3515 | val_corr=(0.572, 0.078) | test_loss=0.3519 | test_corr=(0.568, 0.078)
Epoch 16/400 | time=0.653s | train_loss=0.3445 | train_corr=(0.585, 0.09) | val_loss=0.3494 | val_corr=(0.573, 0.087) | test_loss=0.3502 | test_corr=(0.569, 0.087)
Epoch 17/400 | time=0.663s | train_loss=0.3477 | train_corr=(0.576, 0.078) | val_loss=0.3492 | val_corr=(0.576, 0.091) | test_loss=0.3506 | test_corr=(0.569, 0.094)
Epoch 18/400 | time=0.651s | train_loss=0.3434 | train_corr=(0.583, 0.077) | val_loss=0.3474 | val_corr=(0.578, 0.098) | test_loss=0.3487 | test_corr=(0.572, 0.1)
Epoch 19/400 | time=0.642s | train_loss=0.3411 | train_corr=(0.582, 0.108) | val_loss=0.3449 | val_corr=(0.579, 0.106) | test_loss=0.3476 | test_corr=(0.572, 0.109)
Epoch 20/400 | time=0.645s | train_loss=0.3471 | train_corr=(0.588, 0.135) | val_loss=0.3419 | val_corr=(0.589, 0.114) | test_loss=0.3431 | test_corr=(0.581, 0.116)
Epoch 21/400 | time=0.636s | train_loss=0.3407 | train_corr=(0.587, 0.157) | val_loss=0.339 | val_corr=(0.595, 0.125) | test_loss=0.3411 | test_corr=(0.587, 0.127)
Epoch 22/400 | time=0.644s | train_loss=0.3315 | train_corr=(0.616, 0.09) | val_loss=0.3368 | val_corr=(0.601, 0.139) | test_loss=0.3384 | test_corr=(0.592, 0.141)
Epoch 23/400 | time=0.643s | train_loss=0.3316 | train_corr=(0.622, 0.188) | val_loss=0.3346 | val_corr=(0.61, 0.152) | test_loss=0.3359 | test_corr=(0.601, 0.155)
Epoch 24/400 | time=0.64s | train_loss=0.3388 | train_corr=(0.617, 0.128) | val_loss=0.3304 | val_corr=(0.617, 0.16) | test_loss=0.3324 | test_corr=(0.608, 0.163)
Epoch 25/400 | time=0.641s | train_loss=0.3227 | train_corr=(0.618, 0.165) | val_loss=0.3302 | val_corr=(0.62, 0.203) | test_loss=0.3313 | test_corr=(0.609, 0.201)
Epoch 26/400 | time=0.633s | train_loss=0.3288 | train_corr=(0.616, 0.21) | val_loss=0.3231 | val_corr=(0.622, 0.247) | test_loss=0.3275 | test_corr=(0.608, 0.237)
Epoch 27/400 | time=0.642s | train_loss=0.3184 | train_corr=(0.619, 0.257) | val_loss=0.318 | val_corr=(0.633, 0.293) | test_loss=0.3202 | test_corr=(0.622, 0.288)
Epoch 28/400 | time=0.64s | train_loss=0.3144 | train_corr=(0.649, 0.41) | val_loss=0.3083 | val_corr=(0.652, 0.448) | test_loss=0.3123 | test_corr=(0.642, 0.435)
Epoch 29/400 | time=0.642s | train_loss=0.3055 | train_corr=(0.675, 0.552) | val_loss=0.3111 | val_corr=(0.67, 0.551) | test_loss=0.3116 | test_corr=(0.662, 0.539)
Epoch 30/400 | time=0.65s | train_loss=0.3078 | train_corr=(0.671, 0.658) | val_loss=0.3001 | val_corr=(0.672, 0.646) | test_loss=0.2987 | test_corr=(0.67, 0.649)
Epoch 31/400 | time=0.603s | train_loss=0.2853 | train_corr=(0.689, 0.677) | val_loss=0.3018 | val_corr=(0.676, 0.704) | test_loss=0.3016 | test_corr=(0.668, 0.686)
Epoch 32/400 | time=0.604s | train_loss=0.2762 | train_corr=(0.679, 0.755) | val_loss=0.2735 | val_corr=(0.695, 0.772) | test_loss=0.2788 | test_corr=(0.689, 0.766)
