Running on host gpu013
Using 12 Julia threads
Starting at Sat Apr 11 10:35:17 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_retrain.jl
Epoch 1/1000 | time=117.408s | train_loss=0.8175 | train_corr=(0.365, 0.024) | val_loss=0.8227 | val_corr=(0.368, 0.014) | test_loss=0.8215 | test_corr=(0.368, 0.018)
Epoch 2/1000 | time=0.663s | train_loss=0.6322 | train_corr=(0.287, -0.007) | val_loss=0.5788 | val_corr=(0.409, 0.008) | test_loss=0.5764 | test_corr=(0.414, 0.019)
Epoch 3/1000 | time=0.637s | train_loss=0.4106 | train_corr=(0.479, -0.003) | val_loss=0.4092 | val_corr=(0.485, 0.007) | test_loss=0.4074 | test_corr=(0.494, 0.02)
Epoch 4/1000 | time=0.639s | train_loss=0.371 | train_corr=(0.543, -0.01) | val_loss=0.3824 | val_corr=(0.539, -0.014) | test_loss=0.3832 | test_corr=(0.535, -0.002)
Epoch 5/1000 | time=0.64s | train_loss=0.3653 | train_corr=(0.555, 0.026) | val_loss=0.3692 | val_corr=(0.556, 0.026) | test_loss=0.3695 | test_corr=(0.556, 0.022)
Epoch 6/1000 | time=0.635s | train_loss=0.3854 | train_corr=(0.549, 0.036) | val_loss=0.3799 | val_corr=(0.545, 0.031) | test_loss=0.3774 | test_corr=(0.544, 0.021)
Epoch 7/1000 | time=0.635s | train_loss=0.3587 | train_corr=(0.57, 0.035) | val_loss=0.3694 | val_corr=(0.546, 0.034) | test_loss=0.3683 | test_corr=(0.545, 0.023)
Epoch 8/1000 | time=0.636s | train_loss=0.3664 | train_corr=(0.555, -0.015) | val_loss=0.3612 | val_corr=(0.556, 0.036) | test_loss=0.3614 | test_corr=(0.553, 0.027)
Epoch 9/1000 | time=0.662s | train_loss=0.3547 | train_corr=(0.573, 0.049) | val_loss=0.3586 | val_corr=(0.56, 0.044) | test_loss=0.3594 | test_corr=(0.555, 0.04)
Epoch 10/1000 | time=0.66s | train_loss=0.366 | train_corr=(0.55, 0.001) | val_loss=0.3573 | val_corr=(0.56, 0.052) | test_loss=0.3575 | test_corr=(0.555, 0.05)
Epoch 11/1000 | time=0.65s | train_loss=0.3535 | train_corr=(0.565, 0.054) | val_loss=0.3588 | val_corr=(0.562, 0.062) | test_loss=0.3584 | test_corr=(0.558, 0.059)
Epoch 12/1000 | time=0.652s | train_loss=0.3502 | train_corr=(0.573, 0.093) | val_loss=0.3548 | val_corr=(0.57, 0.062) | test_loss=0.355 | test_corr=(0.567, 0.061)
Epoch 13/1000 | time=0.66s | train_loss=0.3463 | train_corr=(0.582, 0.053) | val_loss=0.3538 | val_corr=(0.567, 0.078) | test_loss=0.3538 | test_corr=(0.561, 0.077)
Epoch 14/1000 | time=0.654s | train_loss=0.3511 | train_corr=(0.591, 0.046) | val_loss=0.3564 | val_corr=(0.563, 0.086) | test_loss=0.3562 | test_corr=(0.56, 0.086)
Epoch 15/1000 | time=0.652s | train_loss=0.3528 | train_corr=(0.568, 0.089) | val_loss=0.3502 | val_corr=(0.569, 0.093) | test_loss=0.3513 | test_corr=(0.563, 0.094)
Epoch 16/1000 | time=0.65s | train_loss=0.3438 | train_corr=(0.583, 0.115) | val_loss=0.3495 | val_corr=(0.572, 0.101) | test_loss=0.3497 | test_corr=(0.567, 0.103)
Epoch 17/1000 | time=0.647s | train_loss=0.3486 | train_corr=(0.58, 0.095) | val_loss=0.3533 | val_corr=(0.584, 0.103) | test_loss=0.3562 | test_corr=(0.576, 0.107)
Epoch 18/1000 | time=0.64s | train_loss=0.34 | train_corr=(0.592, 0.083) | val_loss=0.3438 | val_corr=(0.589, 0.111) | test_loss=0.3464 | test_corr=(0.579, 0.113)
