Running on host gpu012
Using 12 Julia threads
Starting at Sun Apr 12 16:58:17 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_retrain.jl
Epoch 1/1000 | time=117.103s | train_loss=0.8174 | train_corr=(0.365, 0.025) | val_loss=0.8227 | val_corr=(0.368, 0.014) | test_loss=0.8215 | test_corr=(0.368, 0.018)
Epoch 2/1000 | time=0.689s | train_loss=0.6381 | train_corr=(0.287, -0.008) | val_loss=0.5521 | val_corr=(0.413, 0.007) | test_loss=0.5496 | test_corr=(0.418, 0.018)
Epoch 3/1000 | time=0.651s | train_loss=0.4165 | train_corr=(0.442, -0.003) | val_loss=0.4124 | val_corr=(0.486, 0.007) | test_loss=0.4107 | test_corr=(0.492, 0.019)
Epoch 4/1000 | time=0.658s | train_loss=0.3717 | train_corr=(0.537, -0.006) | val_loss=0.3784 | val_corr=(0.534, -0.008) | test_loss=0.3787 | test_corr=(0.531, 0.003)
Epoch 5/1000 | time=0.666s | train_loss=0.3666 | train_corr=(0.549, 0.021) | val_loss=0.3678 | val_corr=(0.555, 0.022) | test_loss=0.3682 | test_corr=(0.554, 0.017)
Epoch 6/1000 | time=0.721s | train_loss=0.3891 | train_corr=(0.551, 0.038) | val_loss=0.382 | val_corr=(0.547, 0.029) | test_loss=0.38 | test_corr=(0.546, 0.02)
Epoch 7/1000 | time=0.679s | train_loss=0.3621 | train_corr=(0.575, 0.023) | val_loss=0.37 | val_corr=(0.549, 0.029) | test_loss=0.3692 | test_corr=(0.547, 0.018)
Epoch 8/1000 | time=0.71s | train_loss=0.3665 | train_corr=(0.555, -0.016) | val_loss=0.3639 | val_corr=(0.558, 0.036) | test_loss=0.3647 | test_corr=(0.557, 0.026)
Epoch 9/1000 | time=0.688s | train_loss=0.3531 | train_corr=(0.571, 0.035) | val_loss=0.3612 | val_corr=(0.561, 0.041) | test_loss=0.3619 | test_corr=(0.558, 0.034)
Epoch 10/1000 | time=0.691s | train_loss=0.3642 | train_corr=(0.554, 0.032) | val_loss=0.3582 | val_corr=(0.563, 0.041) | test_loss=0.3586 | test_corr=(0.559, 0.037)
Epoch 11/1000 | time=0.683s | train_loss=0.3576 | train_corr=(0.554, 0.064) | val_loss=0.3572 | val_corr=(0.563, 0.048) | test_loss=0.3574 | test_corr=(0.56, 0.042)
Epoch 12/1000 | time=0.723s | train_loss=0.352 | train_corr=(0.568, 0.048) | val_loss=0.3604 | val_corr=(0.567, 0.051) | test_loss=0.3615 | test_corr=(0.565, 0.049)
Epoch 13/1000 | time=0.689s | train_loss=0.3471 | train_corr=(0.586, 0.08) | val_loss=0.3545 | val_corr=(0.572, 0.07) | test_loss=0.3553 | test_corr=(0.568, 0.068)
Epoch 14/1000 | time=0.662s | train_loss=0.3487 | train_corr=(0.595, 0.086) | val_loss=0.3545 | val_corr=(0.577, 0.078) | test_loss=0.3558 | test_corr=(0.572, 0.078)
Epoch 15/1000 | time=0.656s | train_loss=0.356 | train_corr=(0.564, 0.111) | val_loss=0.3514 | val_corr=(0.576, 0.097) | test_loss=0.3525 | test_corr=(0.57, 0.094)
Epoch 16/1000 | time=0.656s | train_loss=0.3482 | train_corr=(0.591, 0.094) | val_loss=0.3529 | val_corr=(0.577, 0.11) | test_loss=0.3523 | test_corr=(0.573, 0.105)
Epoch 17/1000 | time=0.66s | train_loss=0.3473 | train_corr=(0.583, 0.103) | val_loss=0.3491 | val_corr=(0.587, 0.105) | test_loss=0.3515 | test_corr=(0.579, 0.104)
Epoch 18/1000 | time=0.703s | train_loss=0.3469 | train_corr=(0.589, 0.113) | val_loss=0.3621 | val_corr=(0.581, 0.115) | test_loss=0.3656 | test_corr=(0.57, 0.112)
Epoch 19/1000 | time=0.724s | train_loss=0.342 | train_corr=(0.593, 0.132) | val_loss=0.3475 | val_corr=(0.595, 0.123) | test_loss=0.3502 | test_corr=(0.586, 0.12)
Epoch 20/1000 | time=0.73s | train_loss=0.3451 | train_corr=(0.604, 0.139) | val_loss=0.3406 | val_corr=(0.606, 0.128) | test_loss=0.3422 | test_corr=(0.595, 0.126)
Epoch 21/1000 | time=0.719s | train_loss=0.3375 | train_corr=(0.606, 0.176) | val_loss=0.3371 | val_corr=(0.615, 0.145) | test_loss=0.339 | test_corr=(0.605, 0.139)
Epoch 22/1000 | time=0.712s | train_loss=0.3293 | train_corr=(0.63, 0.125) | val_loss=0.3357 | val_corr=(0.614, 0.154) | test_loss=0.3376 | test_corr=(0.604, 0.149)
Epoch 23/1000 | time=0.74s | train_loss=0.3269 | train_corr=(0.632, 0.213) | val_loss=0.3305 | val_corr=(0.621, 0.169) | test_loss=0.3334 | test_corr=(0.608, 0.16)
Epoch 24/1000 | time=0.972s | train_loss=0.3319 | train_corr=(0.623, 0.151) | val_loss=0.3262 | val_corr=(0.638, 0.183) | test_loss=0.3294 | test_corr=(0.625, 0.177)
Epoch 25/1000 | time=0.919s | train_loss=0.3172 | train_corr=(0.657, 0.17) | val_loss=0.3217 | val_corr=(0.65, 0.204) | test_loss=0.3251 | test_corr=(0.638, 0.196)
Epoch 26/1000 | time=0.678s | train_loss=0.3209 | train_corr=(0.661, 0.259) | val_loss=0.3215 | val_corr=(0.652, 0.264) | test_loss=0.3254 | test_corr=(0.639, 0.26)
Epoch 27/1000 | time=0.653s | train_loss=0.3183 | train_corr=(0.659, 0.345) | val_loss=0.3125 | val_corr=(0.674, 0.351) | test_loss=0.3159 | test_corr=(0.661, 0.346)
Epoch 28/1000 | time=0.655s | train_loss=0.3633 | train_corr=(0.658, 0.478) | val_loss=0.3249 | val_corr=(0.661, 0.541) | test_loss=0.3305 | test_corr=(0.65, 0.535)
Epoch 29/1000 | time=0.664s | train_loss=0.3101 | train_corr=(0.669, 0.632) | val_loss=0.3085 | val_corr=(0.673, 0.523) | test_loss=0.3136 | test_corr=(0.664, 0.522)
Epoch 30/1000 | time=0.651s | train_loss=0.2892 | train_corr=(0.673, 0.685) | val_loss=0.2992 | val_corr=(0.671, 0.66) | test_loss=0.2998 | test_corr=(0.666, 0.656)
Epoch 31/1000 | time=0.706s | train_loss=0.2782 | train_corr=(0.706, 0.72) | val_loss=0.2684 | val_corr=(0.703, 0.764) | test_loss=0.2721 | test_corr=(0.692, 0.759)
Epoch 32/1000 | time=0.744s | train_loss=0.2639 | train_corr=(0.701, 0.8) | val_loss=0.2617 | val_corr=(0.71, 0.801) | test_loss=0.2661 | test_corr=(0.698, 0.785)
Epoch 33/1000 | time=0.799s | train_loss=0.2642 | train_corr=(0.695, 0.792) | val_loss=0.2553 | val_corr=(0.722, 0.811) | test_loss=0.2616 | test_corr=(0.71, 0.79)
Epoch 34/1000 | time=0.722s | train_loss=0.2423 | train_corr=(0.729, 0.843) | val_loss=0.2412 | val_corr=(0.731, 0.856) | test_loss=0.2499 | test_corr=(0.715, 0.83)
Epoch 35/1000 | time=0.647s | train_loss=0.2348 | train_corr=(0.748, 0.86) | val_loss=0.232 | val_corr=(0.741, 0.869) | test_loss=0.2421 | test_corr=(0.725, 0.839)
Epoch 36/1000 | time=0.642s | train_loss=0.2301 | train_corr=(0.749, 0.857) | val_loss=0.2253 | val_corr=(0.756, 0.88) | test_loss=0.2348 | test_corr=(0.739, 0.852)
Epoch 37/1000 | time=0.607s | train_loss=0.228 | train_corr=(0.758, 0.887) | val_loss=0.2269 | val_corr=(0.767, 0.906) | test_loss=0.2415 | test_corr=(0.746, 0.867)
Epoch 38/1000 | time=0.626s | train_loss=0.2105 | train_corr=(0.786, 0.904) | val_loss=0.2109 | val_corr=(0.772, 0.911) | test_loss=0.2229 | test_corr=(0.754, 0.882)
Epoch 39/1000 | time=0.611s | train_loss=0.2158 | train_corr=(0.776, 0.903) | val_loss=0.2101 | val_corr=(0.782, 0.912) | test_loss=0.2231 | test_corr=(0.764, 0.875)
Epoch 40/1000 | time=0.638s | train_loss=0.2067 | train_corr=(0.789, 0.916) | val_loss=0.2003 | val_corr=(0.793, 0.926) | test_loss=0.2136 | test_corr=(0.775, 0.895)
Epoch 41/1000 | time=0.654s | train_loss=0.2019 | train_corr=(0.802, 0.919) | val_loss=0.2031 | val_corr=(0.786, 0.929) | test_loss=0.2144 | test_corr=(0.766, 0.896)
Epoch 42/1000 | time=0.745s | train_loss=0.1948 | train_corr=(0.798, 0.925) | val_loss=0.1955 | val_corr=(0.797, 0.938) | test_loss=0.209 | test_corr=(0.775, 0.9)
Epoch 43/1000 | time=0.735s | train_loss=0.1871 | train_corr=(0.813, 0.933) | val_loss=0.1968 | val_corr=(0.809, 0.939) | test_loss=0.2117 | test_corr=(0.787, 0.904)
Epoch 44/1000 | time=0.676s | train_loss=0.1916 | train_corr=(0.804, 0.93) | val_loss=0.1852 | val_corr=(0.805, 0.933) | test_loss=0.2033 | test_corr=(0.78, 0.894)
Epoch 45/1000 | time=0.637s | train_loss=0.1799 | train_corr=(0.809, 0.941) | val_loss=0.183 | val_corr=(0.81, 0.938) | test_loss=0.2006 | test_corr=(0.786, 0.907)
Epoch 46/1000 | time=0.629s | train_loss=0.1784 | train_corr=(0.812, 0.947) | val_loss=0.1779 | val_corr=(0.817, 0.945) | test_loss=0.1965 | test_corr=(0.791, 0.903)
Epoch 47/1000 | time=0.604s | train_loss=0.173 | train_corr=(0.822, 0.952) | val_loss=0.1798 | val_corr=(0.823, 0.949) | test_loss=0.2006 | test_corr=(0.794, 0.913)
Epoch 48/1000 | time=0.612s | train_loss=0.1703 | train_corr=(0.83, 0.948) | val_loss=0.1779 | val_corr=(0.823, 0.941) | test_loss=0.1942 | test_corr=(0.795, 0.91)
Epoch 49/1000 | time=0.604s | train_loss=0.1793 | train_corr=(0.819, 0.946) | val_loss=0.1771 | val_corr=(0.824, 0.942) | test_loss=0.1912 | test_corr=(0.799, 0.912)
Epoch 50/1000 | time=0.649s | train_loss=0.165 | train_corr=(0.824, 0.953) | val_loss=0.1643 | val_corr=(0.826, 0.952) | test_loss=0.1852 | test_corr=(0.799, 0.912)
Epoch 51/1000 | time=0.757s | train_loss=0.1669 | train_corr=(0.832, 0.955) | val_loss=0.167 | val_corr=(0.827, 0.956) | test_loss=0.1872 | test_corr=(0.799, 0.914)
Epoch 52/1000 | time=0.733s | train_loss=0.1772 | train_corr=(0.833, 0.944) | val_loss=0.1744 | val_corr=(0.834, 0.945) | test_loss=0.2008 | test_corr=(0.802, 0.9)
Epoch 53/1000 | time=0.668s | train_loss=0.1962 | train_corr=(0.833, 0.945) | val_loss=0.1712 | val_corr=(0.832, 0.945) | test_loss=0.1922 | test_corr=(0.804, 0.91)
Epoch 54/1000 | time=0.674s | train_loss=0.1779 | train_corr=(0.829, 0.947) | val_loss=0.1734 | val_corr=(0.833, 0.948) | test_loss=0.1952 | test_corr=(0.804, 0.904)
Epoch 55/1000 | time=0.704s | train_loss=0.162 | train_corr=(0.833, 0.961) | val_loss=0.1645 | val_corr=(0.84, 0.956) | test_loss=0.1837 | test_corr=(0.808, 0.919)
Epoch 56/1000 | time=0.623s | train_loss=0.1482 | train_corr=(0.849, 0.964) | val_loss=0.1543 | val_corr=(0.84, 0.964) | test_loss=0.1773 | test_corr=(0.808, 0.923)
Epoch 57/1000 | time=0.6s | train_loss=0.1503 | train_corr=(0.845, 0.959) | val_loss=0.1496 | val_corr=(0.849, 0.961) | test_loss=0.1739 | test_corr=(0.816, 0.923)
Epoch 58/1000 | time=0.633s | train_loss=0.1461 | train_corr=(0.855, 0.968) | val_loss=0.148 | val_corr=(0.856, 0.964) | test_loss=0.1764 | test_corr=(0.821, 0.921)
Epoch 59/1000 | time=0.632s | train_loss=0.1439 | train_corr=(0.855, 0.968) | val_loss=0.1403 | val_corr=(0.858, 0.97) | test_loss=0.1697 | test_corr=(0.824, 0.926)
Epoch 60/1000 | time=0.716s | train_loss=0.1441 | train_corr=(0.861, 0.966) | val_loss=0.1464 | val_corr=(0.854, 0.97) | test_loss=0.1708 | test_corr=(0.822, 0.927)
Epoch 61/1000 | time=0.756s | train_loss=0.1471 | train_corr=(0.844, 0.968) | val_loss=0.1394 | val_corr=(0.856, 0.971) | test_loss=0.169 | test_corr=(0.818, 0.925)
Epoch 62/1000 | time=0.741s | train_loss=0.1389 | train_corr=(0.86, 0.968) | val_loss=0.1395 | val_corr=(0.858, 0.971) | test_loss=0.1743 | test_corr=(0.82, 0.922)
Epoch 63/1000 | time=0.699s | train_loss=0.1544 | train_corr=(0.852, 0.967) | val_loss=0.1427 | val_corr=(0.857, 0.971) | test_loss=0.168 | test_corr=(0.822, 0.928)
Epoch 64/1000 | time=0.648s | train_loss=0.1615 | train_corr=(0.864, 0.964) | val_loss=0.1468 | val_corr=(0.847, 0.969) | test_loss=0.1715 | test_corr=(0.817, 0.925)
Epoch 65/1000 | time=0.683s | train_loss=0.1508 | train_corr=(0.86, 0.957) | val_loss=0.1388 | val_corr=(0.866, 0.964) | test_loss=0.1669 | test_corr=(0.83, 0.921)
Epoch 66/1000 | time=0.634s | train_loss=0.1365 | train_corr=(0.872, 0.966) | val_loss=0.1497 | val_corr=(0.867, 0.968) | test_loss=0.1799 | test_corr=(0.829, 0.924)
Epoch 67/1000 | time=0.607s | train_loss=0.1392 | train_corr=(0.856, 0.966) | val_loss=0.1373 | val_corr=(0.867, 0.971) | test_loss=0.1663 | test_corr=(0.829, 0.925)
Epoch 68/1000 | time=0.639s | train_loss=0.1339 | train_corr=(0.862, 0.971) | val_loss=0.1372 | val_corr=(0.861, 0.968) | test_loss=0.1631 | test_corr=(0.828, 0.931)
Epoch 69/1000 | time=0.652s | train_loss=0.1313 | train_corr=(0.869, 0.971) | val_loss=0.131 | val_corr=(0.869, 0.971) | test_loss=0.1628 | test_corr=(0.832, 0.924)
Epoch 70/1000 | time=0.762s | train_loss=0.1237 | train_corr=(0.87, 0.977) | val_loss=0.1292 | val_corr=(0.866, 0.973) | test_loss=0.1613 | test_corr=(0.831, 0.931)
Epoch 71/1000 | time=0.709s | train_loss=0.1323 | train_corr=(0.869, 0.979) | val_loss=0.1463 | val_corr=(0.867, 0.975) | test_loss=0.1707 | test_corr=(0.831, 0.933)
