Running on host gpu012
Using 8 Julia threads
Starting at Wed Apr  8 20:12:28 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/500 | time=113.635s | train_loss=0.8181 | train_corr=(0.365, 0.024) | val_loss=0.8229 | val_corr=(0.368, 0.014) | test_loss=0.8217 | test_corr=(0.368, 0.018)
Epoch 2/500 | time=0.643s | train_loss=0.6315 | train_corr=(0.285, -0.008) | val_loss=0.5702 | val_corr=(0.406, 0.008) | test_loss=0.568 | test_corr=(0.411, 0.019)
Epoch 3/500 | time=0.638s | train_loss=0.4079 | train_corr=(0.488, -0.002) | val_loss=0.4017 | val_corr=(0.489, 0.008) | test_loss=0.4 | test_corr=(0.497, 0.02)
Epoch 4/500 | time=0.643s | train_loss=0.3713 | train_corr=(0.54, -0.003) | val_loss=0.3822 | val_corr=(0.525, -0.007) | test_loss=0.3811 | test_corr=(0.523, 0.005)
Epoch 5/500 | time=0.643s | train_loss=0.3694 | train_corr=(0.532, 0.02) | val_loss=0.3727 | val_corr=(0.543, 0.025) | test_loss=0.3725 | test_corr=(0.54, 0.023)
Epoch 6/500 | time=0.656s | train_loss=0.3749 | train_corr=(0.538, 0.042) | val_loss=0.3671 | val_corr=(0.55, 0.036) | test_loss=0.3677 | test_corr=(0.548, 0.025)
Epoch 7/500 | time=0.643s | train_loss=0.3591 | train_corr=(0.574, 0.032) | val_loss=0.3638 | val_corr=(0.554, 0.036) | test_loss=0.3639 | test_corr=(0.552, 0.025)
Epoch 8/500 | time=0.654s | train_loss=0.3641 | train_corr=(0.553, -0.013) | val_loss=0.3621 | val_corr=(0.558, 0.042) | test_loss=0.363 | test_corr=(0.556, 0.033)
Epoch 9/500 | time=0.643s | train_loss=0.3517 | train_corr=(0.574, 0.047) | val_loss=0.3595 | val_corr=(0.559, 0.052) | test_loss=0.3599 | test_corr=(0.555, 0.046)
Epoch 10/500 | time=0.654s | train_loss=0.3632 | train_corr=(0.553, 0.043) | val_loss=0.3572 | val_corr=(0.563, 0.061) | test_loss=0.3578 | test_corr=(0.56, 0.058)
Epoch 11/500 | time=0.642s | train_loss=0.3544 | train_corr=(0.565, 0.083) | val_loss=0.3568 | val_corr=(0.564, 0.073) | test_loss=0.3572 | test_corr=(0.56, 0.07)
Epoch 12/500 | time=0.66s | train_loss=0.35 | train_corr=(0.571, 0.092) | val_loss=0.3542 | val_corr=(0.57, 0.085) | test_loss=0.3546 | test_corr=(0.568, 0.083)
Epoch 13/500 | time=0.647s | train_loss=0.3472 | train_corr=(0.585, 0.07) | val_loss=0.3518 | val_corr=(0.571, 0.089) | test_loss=0.3524 | test_corr=(0.567, 0.089)
Epoch 14/500 | time=0.654s | train_loss=0.3451 | train_corr=(0.596, 0.088) | val_loss=0.3556 | val_corr=(0.568, 0.096) | test_loss=0.3552 | test_corr=(0.565, 0.096)
Epoch 15/500 | time=0.64s | train_loss=0.3523 | train_corr=(0.569, 0.098) | val_loss=0.3513 | val_corr=(0.572, 0.095) | test_loss=0.3526 | test_corr=(0.566, 0.095)
Epoch 16/500 | time=0.659s | train_loss=0.3444 | train_corr=(0.582, 0.111) | val_loss=0.3479 | val_corr=(0.573, 0.117) | test_loss=0.3485 | test_corr=(0.569, 0.117)
Epoch 17/500 | time=0.647s | train_loss=0.3458 | train_corr=(0.577, 0.125) | val_loss=0.3457 | val_corr=(0.578, 0.121) | test_loss=0.3477 | test_corr=(0.571, 0.119)
Epoch 18/500 | time=0.653s | train_loss=0.3389 | train_corr=(0.588, 0.119) | val_loss=0.3456 | val_corr=(0.584, 0.125) | test_loss=0.348 | test_corr=(0.577, 0.122)
Epoch 19/500 | time=0.65s | train_loss=0.3364 | train_corr=(0.588, 0.131) | val_loss=0.3419 | val_corr=(0.585, 0.13) | test_loss=0.3436 | test_corr=(0.581, 0.127)
Epoch 20/500 | time=0.644s | train_loss=0.3429 | train_corr=(0.589, 0.132) | val_loss=0.3397 | val_corr=(0.589, 0.134) | test_loss=0.3411 | test_corr=(0.58, 0.13)
Epoch 21/500 | time=0.636s | train_loss=0.3355 | train_corr=(0.589, 0.155) | val_loss=0.3344 | val_corr=(0.598, 0.146) | test_loss=0.3364 | test_corr=(0.592, 0.139)
Epoch 22/500 | time=0.639s | train_loss=0.3268 | train_corr=(0.609, 0.139) | val_loss=0.3276 | val_corr=(0.606, 0.177) | test_loss=0.3301 | test_corr=(0.597, 0.169)
Epoch 23/500 | time=0.636s | train_loss=0.3206 | train_corr=(0.615, 0.229) | val_loss=0.3213 | val_corr=(0.613, 0.217) | test_loss=0.3242 | test_corr=(0.604, 0.205)
Epoch 24/500 | time=0.641s | train_loss=0.3175 | train_corr=(0.62, 0.268) | val_loss=0.3155 | val_corr=(0.63, 0.292) | test_loss=0.3185 | test_corr=(0.619, 0.279)
Epoch 25/500 | time=0.645s | train_loss=0.306 | train_corr=(0.641, 0.3) | val_loss=0.3111 | val_corr=(0.647, 0.358) | test_loss=0.315 | test_corr=(0.631, 0.334)
Epoch 26/500 | time=0.654s | train_loss=0.3021 | train_corr=(0.647, 0.422) | val_loss=0.3045 | val_corr=(0.655, 0.407) | test_loss=0.3083 | test_corr=(0.64, 0.384)
Epoch 27/500 | time=0.64s | train_loss=0.2926 | train_corr=(0.659, 0.561) | val_loss=0.2854 | val_corr=(0.676, 0.584) | test_loss=0.291 | test_corr=(0.662, 0.561)
Epoch 28/500 | time=0.637s | train_loss=0.3076 | train_corr=(0.697, 0.584) | val_loss=0.2868 | val_corr=(0.68, 0.695) | test_loss=0.2892 | test_corr=(0.668, 0.675)
Epoch 29/500 | time=0.627s | train_loss=0.2709 | train_corr=(0.711, 0.727) | val_loss=0.2681 | val_corr=(0.704, 0.717) | test_loss=0.2758 | test_corr=(0.69, 0.703)
Epoch 30/500 | time=0.64s | train_loss=0.2564 | train_corr=(0.708, 0.772) | val_loss=0.2587 | val_corr=(0.722, 0.783) | test_loss=0.2619 | test_corr=(0.709, 0.772)
Epoch 31/500 | time=0.628s | train_loss=0.2615 | train_corr=(0.729, 0.767) | val_loss=0.2566 | val_corr=(0.725, 0.792) | test_loss=0.2644 | test_corr=(0.716, 0.777)
Epoch 32/500 | time=0.646s | train_loss=0.2507 | train_corr=(0.72, 0.819) | val_loss=0.2446 | val_corr=(0.735, 0.836) | test_loss=0.2576 | test_corr=(0.717, 0.807)
Epoch 33/500 | time=0.632s | train_loss=0.241 | train_corr=(0.736, 0.846) | val_loss=0.2325 | val_corr=(0.755, 0.865) | test_loss=0.2428 | test_corr=(0.737, 0.834)
Epoch 34/500 | time=0.633s | train_loss=0.2155 | train_corr=(0.767, 0.875) | val_loss=0.2135 | val_corr=(0.777, 0.893) | test_loss=0.2232 | test_corr=(0.76, 0.869)
Epoch 35/500 | time=0.636s | train_loss=0.2136 | train_corr=(0.792, 0.892) | val_loss=0.2103 | val_corr=(0.79, 0.892) | test_loss=0.2216 | test_corr=(0.774, 0.869)
Epoch 36/500 | time=0.634s | train_loss=0.2014 | train_corr=(0.798, 0.903) | val_loss=0.2036 | val_corr=(0.805, 0.909) | test_loss=0.2153 | test_corr=(0.78, 0.885)
Epoch 37/500 | time=0.635s | train_loss=0.1998 | train_corr=(0.808, 0.919) | val_loss=0.2024 | val_corr=(0.809, 0.918) | test_loss=0.2136 | test_corr=(0.786, 0.887)
Epoch 38/500 | time=0.654s | train_loss=0.1875 | train_corr=(0.822, 0.926) | val_loss=0.1862 | val_corr=(0.827, 0.922) | test_loss=0.2046 | test_corr=(0.799, 0.892)
Epoch 39/500 | time=0.651s | train_loss=0.1861 | train_corr=(0.821, 0.915) | val_loss=0.1836 | val_corr=(0.835, 0.928) | test_loss=0.1999 | test_corr=(0.803, 0.9)
Epoch 40/500 | time=0.645s | train_loss=0.1815 | train_corr=(0.827, 0.927) | val_loss=0.1787 | val_corr=(0.832, 0.933) | test_loss=0.1964 | test_corr=(0.803, 0.902)
Epoch 41/500 | time=0.645s | train_loss=0.1948 | train_corr=(0.831, 0.933) | val_loss=0.1758 | val_corr=(0.836, 0.937) | test_loss=0.1936 | test_corr=(0.81, 0.902)
Epoch 42/500 | time=0.646s | train_loss=0.1869 | train_corr=(0.839, 0.933) | val_loss=0.1896 | val_corr=(0.844, 0.933) | test_loss=0.2061 | test_corr=(0.813, 0.896)
Epoch 43/500 | time=0.635s | train_loss=0.1673 | train_corr=(0.846, 0.942) | val_loss=0.1836 | val_corr=(0.84, 0.938) | test_loss=0.2083 | test_corr=(0.805, 0.901)
Epoch 44/500 | time=0.645s | train_loss=0.1706 | train_corr=(0.845, 0.944) | val_loss=0.1659 | val_corr=(0.849, 0.939) | test_loss=0.1885 | test_corr=(0.816, 0.898)
Epoch 45/500 | time=0.635s | train_loss=0.1655 | train_corr=(0.861, 0.946) | val_loss=0.1624 | val_corr=(0.865, 0.942) | test_loss=0.1867 | test_corr=(0.824, 0.901)
Epoch 46/500 | time=0.653s | train_loss=0.1638 | train_corr=(0.86, 0.95) | val_loss=0.1706 | val_corr=(0.86, 0.941) | test_loss=0.1906 | test_corr=(0.817, 0.9)
Epoch 47/500 | time=0.644s | train_loss=0.1552 | train_corr=(0.86, 0.952) | val_loss=0.166 | val_corr=(0.864, 0.949) | test_loss=0.188 | test_corr=(0.823, 0.908)
Epoch 48/500 | time=0.635s | train_loss=0.1522 | train_corr=(0.876, 0.952) | val_loss=0.1551 | val_corr=(0.866, 0.95) | test_loss=0.1785 | test_corr=(0.826, 0.914)
Epoch 49/500 | time=0.634s | train_loss=0.156 | train_corr=(0.868, 0.955) | val_loss=0.1509 | val_corr=(0.874, 0.951) | test_loss=0.1793 | test_corr=(0.834, 0.919)
Epoch 50/500 | time=0.658s | train_loss=0.15 | train_corr=(0.868, 0.958) | val_loss=0.1456 | val_corr=(0.879, 0.955) | test_loss=0.1738 | test_corr=(0.834, 0.915)
Epoch 51/500 | time=0.635s | train_loss=0.1441 | train_corr=(0.878, 0.96) | val_loss=0.1573 | val_corr=(0.89, 0.957) | test_loss=0.1787 | test_corr=(0.848, 0.916)
Epoch 52/500 | time=0.639s | train_loss=0.1505 | train_corr=(0.879, 0.943) | val_loss=0.1558 | val_corr=(0.877, 0.964) | test_loss=0.1794 | test_corr=(0.838, 0.919)
Epoch 53/500 | time=0.64s | train_loss=0.1494 | train_corr=(0.888, 0.959) | val_loss=0.1409 | val_corr=(0.887, 0.959) | test_loss=0.1694 | test_corr=(0.844, 0.919)
Epoch 54/500 | time=0.657s | train_loss=0.1286 | train_corr=(0.897, 0.97) | val_loss=0.1321 | val_corr=(0.895, 0.964) | test_loss=0.1638 | test_corr=(0.854, 0.925)
Epoch 55/500 | time=0.657s | train_loss=0.1328 | train_corr=(0.9, 0.967) | val_loss=0.1281 | val_corr=(0.903, 0.963) | test_loss=0.158 | test_corr=(0.857, 0.927)
