Running on host gpu019
Using 8 Julia threads
Starting at Thu Apr  9 09:59:52 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_train.jl

Training AE for 200 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/200 | time=121.429s | train_loss=0.8173 | train_corr=(0.365, 0.024) | val_loss=0.8226 | val_corr=(0.368, 0.014) | test_loss=0.8214 | test_corr=(0.368, 0.018)
Epoch 2/200 | time=0.646s | train_loss=0.6318 | train_corr=(0.29, -0.007) | val_loss=0.6001 | val_corr=(0.409, 0.003) | test_loss=0.5978 | test_corr=(0.414, 0.014)
Epoch 3/200 | time=0.658s | train_loss=0.4091 | train_corr=(0.455, 0.004) | val_loss=0.4148 | val_corr=(0.484, 0.008) | test_loss=0.4133 | test_corr=(0.494, 0.021)
Epoch 4/200 | time=0.713s | train_loss=0.3721 | train_corr=(0.548, -0.006) | val_loss=0.3778 | val_corr=(0.538, -0.011) | test_loss=0.3765 | test_corr=(0.541, 0.001)
Epoch 5/200 | time=0.709s | train_loss=0.3667 | train_corr=(0.545, 0.024) | val_loss=0.3702 | val_corr=(0.557, 0.025) | test_loss=0.3712 | test_corr=(0.553, 0.022)
Epoch 6/200 | time=0.725s | train_loss=0.3713 | train_corr=(0.546, 0.036) | val_loss=0.366 | val_corr=(0.555, 0.028) | test_loss=0.3655 | test_corr=(0.554, 0.018)
Epoch 7/200 | time=0.713s | train_loss=0.3577 | train_corr=(0.572, 0.026) | val_loss=0.3619 | val_corr=(0.553, 0.035) | test_loss=0.3619 | test_corr=(0.551, 0.023)
Epoch 8/200 | time=0.717s | train_loss=0.3621 | train_corr=(0.553, -0.003) | val_loss=0.3598 | val_corr=(0.554, 0.038) | test_loss=0.3603 | test_corr=(0.552, 0.028)
Epoch 9/200 | time=0.714s | train_loss=0.3501 | train_corr=(0.573, 0.044) | val_loss=0.3578 | val_corr=(0.554, 0.047) | test_loss=0.3579 | test_corr=(0.55, 0.04)
Epoch 10/200 | time=0.697s | train_loss=0.3597 | train_corr=(0.556, 0.032) | val_loss=0.3573 | val_corr=(0.561, 0.057) | test_loss=0.3578 | test_corr=(0.555, 0.054)
Epoch 11/200 | time=0.723s | train_loss=0.3549 | train_corr=(0.564, 0.079) | val_loss=0.3551 | val_corr=(0.57, 0.063) | test_loss=0.3551 | test_corr=(0.566, 0.063)
